
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1952,22,WAS,P/QB,14,12,7,1-6-0,96,194,49.5,1420,14,7.2,15,7.7,70,7.3,5.3,14.8,118.3,65.7,,,,,,0,0,
1953,23,WAS,P/QB,14,12,8,2-2-1,62,149,41.6,874,3,2.0,17,11.4,66,5.9,1.1,14.1,72.8,28.3,,,,,,0,0,
1955*,25,WAS,P/QB,14,12,8,4-4-0,79,178,44.4,1270,9,5.1,15,8.4,70,7.1,4.4,16.1,105.8,50.5,,,,,,0,0,
1956,26,WAS,qb,14,10,5,3-2-0,47,98,48.0,554,3,3.1,10,10.2,33,5.7,1.7,11.8,55.4,36.2,,,,,,0,0,
1957*,27,WAS,QB,14,12,12,5-6-1,99,167,59.3,1508,11,6.6,10,6.0,82,9.0,7.7,15.2,125.7,86.1,,,,,,0,0,
1958*,28,WAS,QB,14,12,10,4-6-0,79,145,54.5,1365,11,7.6,10,6.9,71,9.4,7.8,17.3,113.8,83.3,,,,,,0,0,
1959,29,WAS,QB,14,12,7,3-5-0,77,173,44.5,1077,8,4.6,11,6.4,49,6.2,4.3,14.0,89.8,54.0,,,,,,0,0,
1960,30,DAL,QB,14,11,10,0-9-1,111,225,49.3,1736,12,5.3,25,11.1,76,7.7,3.8,15.6,157.8,53.5,,,,,,1,0,5
1961,31,DAL,QB,14,14,10,2-8-0,120,236,50.8,1741,14,5.9,16,6.8,80,7.4,5.5,14.5,124.4,66.7,,,,,,3,2,6
1962*,32,DAL,QB,14,14,6,2-3-0,95,166,57.2,1436,16,9.6,9,5.4,85,8.7,8.1,15.1,102.6,95.4,,,,,,,,8
1963,33,DAL,qb,14,13,2,0-1-0,33,65,50.8,418,3,4.6,3,4.6,75,6.4,5.3,12.7,32.2,67.3,,,,,,,,2
Career,,,,,134,85,26-52-3,898,1796,50.0,13399,104,5.8,141,7.9,85,7.5,5.1,14.9,100.0,61.4,,,,,,4,2,21
7 yrs,,WAS,,,82,57,22-31-2,539,1104,48.8,8068,59,5.3,88,8.0,82,7.3,4.8,15.0,98.4,57.8,,,,,,0,0,
4 yrs,,DAL,,,52,28,4-21-1,359,692,51.9,5331,45,6.5,53,7.7,85,7.7,5.6,14.8,102.5,67.2,,,,,,4,2,21
