
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1951,24,NYY,QB,17,11,8,36,107,0,17,3.0,9.7,3.3,,2,71,35.5,1,51,0.2,6.5,178,1,3
1952,25,DTX,QB,17,8,3,17,135,0,31,7.9,16.9,2.1,,4,37,9.3,1,13,0.5,4.6,172,1,6
Career,,,,,19,11,53,242,0,31,4.6,12.7,2.8,,6,108,18.0,2,51,0.3,5.7,350,2,9
1 yr,,DTX,,,8,3,17,135,0,31,7.9,16.9,2.1,,4,37,9.3,1,13,0.5,4.6,172,1,6
1 yr,,NYY,,,11,8,36,107,0,17,3.0,9.7,3.3,,2,71,35.5,1,51,0.2,6.5,178,1,3
