
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1933,23,GNB,TB,,10,6,108,413,3,0,3.8,41.3,10.8,,6,44,7.3,0,0,0.6,4.4,457,3,0,
1934,24,GNB,tb,,11,5,68,129,2,0,1.9,11.7,6.2,,2,27,13.5,0,26,0.2,2.5,156,2,0,
1935,25,GNB,tb,,11,3,68,336,1,0,4.9,30.5,6.2,,1,8,8.0,0,8,0.1,0.7,344,1,0,
1936,26,GNB,HB,,12,8,104,224,0,0,2.2,18.7,8.7,,13,169,13.0,0,0,1.1,14.1,393,0,0,
1937,27,GNB,TB,,10,9,87,161,1,0,1.9,16.1,8.7,,4,32,8.0,0,13,0.4,3.2,193,1,0,
1938,28,GNB,TB,,8,5,75,225,0,0,3.0,28.1,9.4,,1,23,23.0,0,23,0.1,2.9,248,0,0,
Career,,,,,62,36,510,1488,7,0,2.9,24.0,8.2,,27,303,11.2,0,26,0.4,4.9,1791,7,0,
