
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1946,23,RAM,,,9,0,10,-10,0,6,-1.0,-1.1,1.1,,,,,,,,,-10,0,2
1947,24,RAM,,,9,0,3,-6,0,7,-2.0,-0.7,0.3,,,,,,,,,-6,0,2
1948,25,RAM,qb,,12,3,5,14,0,9,2.8,1.2,0.4,,,,,,,,,14,0,2
1949,26,CRD,qb,,12,5,7,6,1,4,0.9,0.5,0.6,,,,,,,,,6,1,3
1950*,27,CRD,P/QB,21,11,8,10,14,1,19,1.4,1.3,0.9,,,,,,,,,14,1,9
1951,28,CRD,qb,22,7,4,12,38,0,16,3.2,5.4,1.7,,,,,,,,,38,0,2
1952,29,DET,qb,1,9,1,5,16,0,9,3.2,1.8,0.6,,,,,,,,,16,0,0
Career,,,,,69,21,52,72,2,19,1.4,1.0,0.8,,,,,,,,,72,2,20
3 yrs,,CRD,,,30,17,29,58,2,19,2.0,1.9,1.0,,,,,,,,,58,2,14
3 yrs,,RAM,,,30,3,18,-2,0,9,-0.1,-0.1,0.6,,,,,,,,,-2,0,6
1 yr,,DET,,,9,1,5,16,0,9,3.2,1.8,0.6,,,,,,,,,16,0,0
