
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1945,23,RAM,qb,,9,4,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,
1946,24,CHR,K,,13,1,,5,23,21.7,68,0,0.0,0,0.0,0,3.0,3.0,13.6,5.2,39.6,,,,,,0,0
1947,25,BCL,qb,,4,1,,2,6,33.3,18,0,0.0,2,33.3,0,3.0,-12.0,9.0,4.5,2.8,,,,,,0,0
Career,,,,,26,6,,7,30,23.3,86,0,0.0,2,6.7,0,2.9,-0.1,12.3,3.3,11.8,,,,,,0,0
1 yr,,BCL,,,4,1,,2,6,33.3,18,0,0.0,2,33.3,0,3.0,-12.0,9.0,4.5,2.8,,,,,,0,0
1 yr,,CHR,,,13,1,,5,23,21.7,68,0,0.0,0,0.0,0,3.0,3.0,13.6,5.2,39.6,,,,,,0,0
1 yr,,RAM,,,9,4,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,
