
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1942,26,NYG,,,2,0,,1,4,25.0,-3,0,0.0,2,50.0,-3,-0.8,-23.3,-3.0,-1.5,0.0,,,,,,0,0
Career,,,,,2,0,,1,4,25.0,-3,0,0.0,2,50.0,-3,-0.8,-23.3,-3.0,-1.5,0.0,,,,,,0,0
