
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1952,22,WAS,P/QB,14,12,7,43,164,2,32,3.8,13.7,3.6,,,,,,,,,164,2,7
1953,23,WAS,P/QB,14,12,8,21,95,2,27,4.5,7.9,1.8,,,,,,,,,95,2,2
1955*,25,WAS,P/QB,14,12,8,37,190,4,25,5.1,15.8,3.1,,,,,,,,,190,4,5
1956,26,WAS,qb,14,10,5,11,6,0,9,0.5,0.6,1.1,,,,,,,,,6,0,4
1957*,27,WAS,QB,14,12,12,20,-12,0,11,-0.6,-1.0,1.7,,,,,,,,,-12,0,7
1958*,28,WAS,QB,14,12,10,12,30,0,13,2.5,2.5,1.0,,,,,,,,,30,0,2
1959,29,WAS,QB,14,12,7,13,7,0,15,0.5,0.6,1.1,,,,,,,,,7,0,5
1960,30,DAL,QB,14,11,10,17,94,1,23,5.5,8.5,1.5,,,,,,,,,94,1,4
1961,31,DAL,QB,14,14,10,20,72,0,21,3.6,5.1,1.4,,,,,,,,,72,0,7
1962*,32,DAL,QB,14,14,6,6,-1,0,3,-0.2,-0.1,0.4,,,,,,,,,-1,0,1
1963,33,DAL,qb,14,13,2,2,5,0,4,2.5,0.4,0.2,,,,,,,,,5,0,0
Career,,,,,134,85,202,650,9,32,3.2,4.9,1.5,,,,,,,,,650,9,44
7 yrs,,WAS,,,82,57,157,480,8,32,3.1,5.9,1.9,,,,,,,,,480,8,32
4 yrs,,DAL,,,52,28,45,170,1,23,3.8,3.3,0.9,,,,,,,,,170,1,12
