
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1952,22,GNB,P/qb,15,12,4,32,106,1,19,3.3,8.8,2.7,,,,,,,,,106,1,4
1953,23,GNB,QB,15,12,5,42,171,4,19,4.1,14.3,3.5,,,,,,,,,171,4,8
1956,26,CLE,qb,18,5,3,18,65,0,19,3.6,13.0,3.6,,,,,,,,,65,0,4
1957,27,GNB,qb,10,12,1,24,83,2,20,3.5,6.9,2.0,,,,,,,,,83,2,3
1958,28,GNB,qb,10,12,4,8,15,0,5,1.9,1.3,0.7,,,,,,,,,15,0,4
1960,30,OAK,qb,10,14,1,21,131,1,16,6.2,9.4,1.5,,1,0,0.0,0,0,0.1,0.0,131,1,3
1961,31,BOS,QB,15,14,8,38,183,4,24,4.8,13.1,2.7,,,,,,,,,183,4,2
1962,32,BOS,QB,15,10,10,28,169,2,33,6.0,16.9,2.8,,,,,,,,,169,2,6
1963*,33,BOS,QB,15,14,13,36,126,5,19,3.5,9.0,2.6,,,,,,,,,126,5,7
1964*+,34,BOS,QB,15,14,14,34,168,2,32,4.9,12.0,2.4,,,,,,,,,168,2,7
1965,35,BOS,QB,15,14,13,50,200,0,17,4.0,14.3,3.6,,,,,,,,,200,0,8
1966*,36,BOS,QB,15,14,14,28,42,1,17,1.5,3.0,2.0,,,,,,,,,42,1,8
1967,37,BOS,QB,15,14,11,14,61,0,18,4.4,4.4,1.0,,,,,,,,,61,0,4
1968,38,NYJ,,15,14,,7,-2,1,10,-0.3,-0.1,0.5,,,,,,,,,-2,1,3
1969,39,NYJ,,15,14,,3,4,0,2,1.3,0.3,0.2,,,,,,,,,4,0,0
Career,,,,,189,101,383,1522,23,33,4.0,8.1,2.0,,1,0,0.0,0,0,0.0,0.0,1522,23,71
7 yrs,,BOS,,,94,83,228,949,14,33,4.2,10.1,2.4,,,,,,,,,949,14,42
4 yrs,,GNB,,,48,14,106,375,7,20,3.5,7.8,2.2,,,,,,,,,375,7,19
2 yrs,,NYJ,,,28,0,10,2,1,10,0.2,0.1,0.4,,,,,,,,,2,1,3
1 yr,,CLE,,,5,3,18,65,0,19,3.6,13.0,3.6,,,,,,,,,65,0,4
1 yr,,OAK,,,14,1,21,131,1,16,6.2,9.4,1.5,,1,0,0.0,0,0,0.1,0.0,131,1,3
