
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1952,22,PIT,K,17,12,,2,20,0,20,10.0,1.7,0.2,,,,,,,,,20,0,1
1954,24,BAL,K/QB,18,10,10,22,36,1,11,1.6,3.6,2.2,,,,,,,,,36,1,6
1955,25,BAL,,18,7,,6,20,1,12,3.3,2.9,0.9,,,,,,,,,20,1,1
Career,,,,,32,10,30,76,2,20,2.5,2.4,0.9,,,,,,,,,76,2,8
3 yrs,,BAL,,,20,10,28,56,2,12,2.0,2.8,1.4,,,,,,,,,56,2,7
1 yr,,PIT,,,12,0,2,20,0,20,10.0,1.7,0.2,,,,,,,,,20,0,1
