
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1932,25,SIS,tb,,12,6,,5,19,26.3,46,0,0.0,2,10.5,0,2.4,-2.3,9.2,3.8,0.0,,,,,,0,0
Career,,,,,12,6,,5,19,26.3,46,0,0.0,2,10.5,0,2.4,-2.3,9.2,3.8,0.0,,,,,,0,0
