
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1960,24,DTX,qb,14,14,2,9,23,3,11,2.6,1.6,0.6,,,,,,,,,23,3,0
1961,25,SDG,,17,13,,16,13,2,9,0.8,1.0,1.2,,,,,,,,,13,2,4
1962,26,2TM,,,11,1,2,24,0,13,12.0,2.2,0.2,,,,,,,,,24,0,0
,,OAK,qb,14,7,1,2,24,0,13,12.0,3.4,0.3,,,,,,,,,24,0,0
Career,,,,,38,3,27,60,5,13,2.2,1.6,0.7,,,,,,,,,60,5,4
1 yr,,DEN,,,4,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
1 yr,,DTX,,,14,2,9,23,3,11,2.6,1.6,0.6,,,,,,,,,23,3,0
1 yr,,OAK,,,7,1,2,24,0,13,12.0,3.4,0.3,,,,,,,,,24,0,0
1 yr,,SDG,,,13,0,16,13,2,9,0.8,1.0,1.2,,,,,,,,,13,2,4
