
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1948,24,DET,QB,,12,10,74,365,0,41,4.9,30.4,6.2,,1,6,6.0,0,6,0.1,0.5,371,0,8
1949,25,DET,QB,,12,7,36,134,1,33,3.7,11.2,3.0,,1,14,14.0,0,14,0.1,1.2,148,1,6
1950,26,DET,,24,12,,9,16,0,16,1.8,1.3,0.8,,,,,,,,,16,0,3
1951,27,DET,,24,12,,4,6,0,4,1.5,0.5,0.3,,,,,,,,,6,0,0
1952,28,PHI,,17,9,,14,25,0,12,1.8,2.8,1.6,,2,19,9.5,0,18,0.2,2.1,44,0,2
1953,29,BAL,QB,17,8,8,28,91,0,25,3.3,11.4,3.5,,,,,,,,,91,0,5
1954,30,BAL,qb,17,3,1,5,3,0,5,0.6,1.0,1.7,,,,,,,,,3,0,1
Career,,,,,68,26,170,640,1,41,3.8,9.4,2.5,,4,39,9.8,0,18,0.1,0.6,679,1,25
4 yrs,,DET,,,48,17,123,521,1,41,4.2,10.9,2.6,,2,20,10.0,0,14,0.0,0.4,541,1,17
2 yrs,,BAL,,,11,9,33,94,0,25,2.8,8.5,3.0,,,,,,,,,94,0,6
1 yr,,PHI,,,9,0,14,25,0,12,1.8,2.8,1.6,,2,19,9.5,0,18,0.2,2.1,44,0,2
