
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1950,23,BAL,P/qb,68,12,5,0-3-0,43,119,36.1,798,6,5.0,12,10.1,69,6.7,3.2,18.6,66.5,37.4,,,,,,0,0,
1951,24,PHI,P/QB,10,12,12,4-8-0,92,218,42.2,1329,14,6.4,23,10.6,53,6.1,2.6,14.4,110.8,44.5,,,,,,0,0,
1952,25,PHI,P/qb,10,12,3,2-1-0,37,82,45.1,561,4,4.9,5,6.1,84,6.8,5.1,15.2,46.8,59.0,,,,,,0,0,
1953,26,PHI,P/qb,10,10,4,1-2-1,56,119,47.1,788,4,3.4,9,7.6,61,6.6,3.9,14.1,78.8,48.6,,,,,,0,0,
1954*,27,PHI,P/QB,10,12,8,5-2-1,123,231,53.2,1740,23,10.0,17,7.4,84,7.5,6.2,14.1,145.0,80.4,,,,,,0,0,
1955*,28,PHI,P/QB,10,12,8,3-5-1,110,228,48.2,1359,9,3.9,17,7.5,59,6.0,3.4,12.4,113.3,49.2,,,,,,0,0,
1956,29,PHI,P,10,12,2,0-2-0,39,82,47.6,426,1,1.2,6,7.3,40,5.2,2.1,10.9,35.5,36.9,,,,,,0,0,
Career,,,,,82,42,15-23-3,500,1079,46.3,7001,61,5.7,89,8.2,84,6.5,3.9,14.0,85.4,52.2,,,,,,0,0,
6 yrs,,PHI,,,70,37,15-20-3,457,960,47.6,6203,55,5.7,77,8.0,84,6.5,4.0,13.6,88.6,54.4,,,,,,0,0,
1 yr,,BAL,,,12,5,0-3-0,43,119,36.1,798,6,5.0,12,10.1,69,6.7,3.2,18.6,66.5,37.4,,,,,,0,0,
