
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1948,27,NYG,QB,,12,4,,162,299,54.2,2175,22,7.4,13,4.3,65,7.3,6.8,13.4,181.3,84.0,,,,,,0,0,
1949,28,NYG,QB,,12,12,,152,305,49.8,2138,17,5.6,20,6.6,85,7.0,5.2,14.1,178.2,64.1,,,,,,0,0,
1950*,29,NYG,QB,42,11,8,6-2-0,56,132,42.4,1000,8,6.1,7,5.3,43,7.6,6.4,17.9,90.9,67.1,,,,,,,,
1951,30,NYG,P/QB,42,12,11,9-2-0,93,189,49.2,1277,10,5.3,22,11.6,69,6.8,2.6,13.7,106.4,49.3,,,,,,0,0,
1952,31,NYG,QB,42,11,11,7-4-0,82,169,48.5,1090,13,7.7,10,5.9,70,6.4,5.3,13.3,99.1,70.4,,,,,,0,0,
1953,32,NYG,QB,42,12,11,3-8-0,143,303,47.2,1711,13,4.3,25,8.3,60,5.6,2.8,12.0,142.6,44.9,,,,,,0,0,
1954,33,NYG,QB,42,10,10,6-4-0,103,210,49.0,1439,17,8.1,11,5.2,68,6.9,6.1,14.0,143.9,76.7,,,,,,0,0,
1955,34,NYG,QB,42,12,4,1-3-0,98,202,48.5,1310,13,6.4,13,6.4,71,6.5,4.9,13.4,109.2,64.2,,,,,,0,0,
1956*,35,NYG,QB,42,12,,,90,174,51.7,1143,10,5.7,7,4.0,48,6.6,5.9,12.7,95.3,75.0,,,,,,,,
1957,36,NYG,QB,42,12,8,6-2-0,128,232,55.2,1712,11,4.7,11,4.7,70,7.4,6.2,13.4,142.7,74.9,,,,,,0,0,
1958,37,NYG,QB,42,10,6,4-2-0,88,184,47.8,1199,10,5.4,9,4.9,44,6.5,5.4,13.6,119.9,66.8,,,,,,,,
1959,38,NYG,QB,42,10,9,8-1-0,113,194,58.2,1706,14,7.2,4,2.1,77,8.8,9.3,15.1,170.6,102.7,,,,,,,,
1960,39,NYG,QB,42,12,7,6-1-1,66,134,49.3,954,8,6.0,7,5.2,70,7.1,6.0,14.5,79.5,70.9,,,,,,2,2,4
1961,40,NYG,qb,42,13,4,2-2-0,44,106,41.5,634,7,6.6,8,7.5,37,6.0,3.9,14.4,48.8,52.2,,,,,,1,1,2
Career,,,,,161,105,58-31-1,1418,2833,50.1,19488,173,6.1,167,5.9,85,6.9,5.4,13.7,121.0,68.2,,,,,,3,3,6
