
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1957,22,PIT,qb,16,3,1,3,31,0,27,10.3,10.3,1.0,,,,,,,,,31,0,1
1958,23,PIT,,16,4,,2,-1,0,1,-0.5,-0.3,0.5,,,,,,,,,-1,0,0
1959,24,PIT,,16,12,,4,20,0,10,5.0,1.7,0.3,,,,,,,,,20,0,1
1960,25,CLE,,18,2,,1,0,0,0,0.0,0.0,0.5,,,,,,,,,0,0,1
1961,26,CLE,qb,18,7,1,1,-10,0,-10,-10.0,-1.4,0.1,,,,,,,,,-10,0,0
1962*+,27,DTX,QB,16,14,14,38,252,3,22,6.6,18.0,2.7,,,,,,,,,252,3,11
1963,28,KAN,QB,16,14,13,37,272,2,43,7.4,19.4,2.6,,,,,,,,,272,2,4
1964*,29,KAN,QB,16,14,14,40,89,2,18,2.2,6.4,2.9,,,,,,,,,89,2,15
1965,30,KAN,QB,16,14,12,43,142,2,40,3.3,10.1,3.1,,,,,,,,,142,2,7
1966*+,31,KAN,QB,16,14,14,24,167,0,18,7.0,11.9,1.7,,,,,,,,,167,0,5
1967*,32,KAN,QB,16,14,14,20,68,0,24,3.4,4.9,1.4,,,,,,,,,68,0,6
1968*,33,KAN,QB,16,14,13,20,40,0,22,2.0,2.9,1.4,,,,,,,,,40,0,4
1969*,34,KAN,QB,16,9,7,1,3,0,3,3.0,0.3,0.1,,,,,,,,,3,0,0
1970,35,KAN,QB,16,14,12,11,46,0,21,4.2,3.3,0.8,,,,,,,,,46,0,5
1971*,36,KAN,QB,16,14,13,12,24,0,8,2.0,1.7,0.9,,,,,,,,,24,0,8
1972,37,KAN,QB,16,14,12,15,75,0,20,5.0,5.4,1.1,,,,,,,,,75,0,2
1973,38,KAN,qb,16,8,6,6,40,0,13,6.7,5.0,0.8,,,,,,,,,40,0,4
1974,39,KAN,QB,16,14,8,11,28,0,10,2.5,2.0,0.8,,,,,,,,,28,0,6
1975,40,KAN,qb,16,12,5,5,7,0,9,1.4,0.6,0.4,,,,,,,,,7,0,4
Career,,,,,211,159,294,1293,9,43,4.4,6.1,1.4,,,,,,,,,1293,9,84
14 yrs,,KAN-DTX,,,183,157,283,1253,9,43,4.4,6.8,1.5,,,,,,,,,1253,9,81
3 yrs,,PIT,,,19,1,9,50,0,27,5.6,2.6,0.5,,,,,,,,,50,0,2
2 yrs,,CLE,,,9,1,2,-10,0,0,-5.0,-1.1,0.2,,,,,,,,,-10,0,1
