
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1949,23,RAM,,,8,0,4,-1,0,2,-0.3,-0.1,0.5,,,,,,,,,-1,0,2
1950*,24,RAM,QB,25,12,6,15,22,1,16,1.5,1.8,1.3,,,,,,,,,22,1,6
1951*,25,RAM,P/qb,25,12,2,7,2,2,4,0.3,0.2,0.6,,,,,,,,,2,2,3
1952*,26,RAM,QB,11,12,6,7,-10,0,9,-1.4,-0.8,0.6,,,,,,,,,-10,0,5
1953*,27,RAM,P/QB,11,12,12,8,11,0,6,1.4,0.9,0.7,,,,,,,,,11,0,3
1954*,28,RAM,P/QB,11,12,11,6,-10,0,5,-1.7,-0.8,0.5,,,,,,,,,-10,0,3
1955*,29,RAM,P/QB,11,12,12,11,24,0,9,2.2,2.0,0.9,,,,,,,,,24,0,3
1956,30,RAM,P/qb,11,12,4,4,1,1,1,0.3,0.1,0.3,,,,,,,,,1,1,2
1957,31,RAM,P/QB,11,12,12,10,-4,4,3,-0.4,-0.3,0.8,,,,,,,,,-4,4,4
1958*,32,PHI,P/QB,11,12,12,8,5,1,2,0.6,0.4,0.7,,,,,,,,,5,1,3
1959*,33,PHI,P/QB,11,12,12,11,13,2,12,1.2,1.1,0.9,,,,,,,,,13,2,4
1960*+,34,PHI,P/QB,11,12,12,11,-13,0,1,-1.2,-1.1,0.9,,,,,,,,,-13,0,7
Career,,,,,140,101,102,40,11,16,0.4,0.3,0.7,,,,,,,,,40,11,45
9 yrs,,RAM,,,104,65,72,35,8,16,0.5,0.3,0.7,,,,,,,,,35,8,31
3 yrs,,PHI,,,36,36,30,5,3,12,0.2,0.1,0.8,,,,,,,,,5,3,14
