
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1939,22,CHI,qb,,7,1,,2,4,50.0,43,0,0.0,0,0.0,0,10.8,10.8,21.5,6.1,88.5,,,,,,0,0
1940*,23,CHI,qb,,7,2,,1,4,25.0,15,1,25.0,0,0.0,15,3.8,8.8,15.0,2.1,82.3,,,,,,,
Career,,,,,14,3,,3,8,37.5,58,1,12.5,0,0.0,15,7.3,9.8,19.3,4.1,103.1,,,,,,0,0
