
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1942,25,NYG,,,7,0,,3,5,60.0,52,1,20.0,1,20.0,29,10.4,5.4,17.3,7.4,95.4,,,,,,0,0
1943,26,NYG,,,5,0,,2,7,28.6,4,0,0.0,1,14.3,3,0.6,-5.9,2.0,0.8,0.0,,,,,,0,0
Career,,,,,14,0,,5,12,41.7,56,1,8.3,2,16.7,29,4.7,-1.2,11.2,4.0,44.4,,,,,,0,0
2 yrs,,NYG,,,12,0,,5,12,41.7,56,1,8.3,2,16.7,29,4.7,-1.2,11.2,4.7,44.4,,,,,,0,0
1 yr,,BKN,,,2,0,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0
