
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1950,22,SFO,S,62,10,,3,4,0,3,1.3,0.4,0.3,,,,,,,,,4,0,1
1953,25,SFO,P,15,12,2,3,-10,0,0,-3.3,-0.8,0.3,,,,,,,,,-10,0,0
Career,,,,,46,2,6,-6,0,3,-1.0,-0.1,0.1,,,,,,,,,-6,0,1
