
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1937,23,PHI,,,8,0,34,154,0,0,4.5,19.3,4.3,,5,45,9.0,0,0,0.6,5.6,199,0,0,
1938,24,PHI,,,1,0,3,10,0,0,3.3,10.0,3.0,,,,,,,,,10,0,0,
Career,,,,,9,0,37,164,0,0,4.4,18.2,4.1,,5,45,9.0,0,0,0.6,5.0,209,0,0,
