
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1954,22,CRD,QB,8,12,11,34,152,1,18,4.5,12.7,2.8,,,,,,,,,152,1,3
1955,23,CRD,QB,8,12,11,56,194,2,38,3.5,16.2,4.7,,,,,,,,,194,2,3
1956,24,CRD,QB,8,12,10,58,161,5,17,2.8,13.4,4.8,,,,,,,,,161,5,2
1957,25,CRD,QB,8,12,12,25,82,2,18,3.3,6.8,2.1,,,,,,,,,82,2,1
1958,26,CRD,qb,8,12,6,17,65,1,32,3.8,5.4,1.4,,0,1,,0,1,0.0,0.1,66,1,4
1959,27,GNB,QB,17,12,7,16,64,0,19,4.0,5.3,1.3,,,,,,,,,64,0,3
1960,28,GNB,qb,17,12,4,8,67,1,35,8.4,5.6,0.7,,,,,,,,,67,1,0
1961,29,BAL,,14,7,,4,1,0,7,0.3,0.1,0.6,,,,,,,,,1,0,0
1962,30,BAL,,14,10,,4,4,0,5,1.0,0.4,0.4,,,,,,,,,4,0,1
1963,31,2TM,,,12,9,17,59,0,16,3.5,4.9,1.4,,,,,,,,,59,0,3
,,SFO,QB,15,11,9,17,59,0,16,3.5,5.4,1.5,,,,,,,,,59,0,3
Career,,,,,113,70,239,849,12,38,3.6,7.5,2.1,,0,1,,0,1,0.0,0.0,850,12,20
5 yrs,,CRD,,,60,50,190,654,11,38,3.4,10.9,3.2,,0,1,,0,1,0.0,0.0,655,11,13
3 yrs,,BAL,,,18,0,8,5,0,7,0.6,0.3,0.4,,,,,,,,,5,0,1
2 yrs,,GNB,,,24,11,24,131,1,35,5.5,5.5,1.0,,,,,,,,,131,1,3
1 yr,,SFO,,,11,9,17,59,0,16,3.5,5.4,1.5,,,,,,,,,59,0,3
