
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1959,27,WAS,qb,10,4,,,6,13,46.2,79,0,0.0,1,7.7,20,6.1,2.6,13.2,19.8,33.8,,,,,,0,0
1960,28,WAS,P,19,12,1,0-1-0,9,19,47.4,115,0,0.0,1,5.3,27,6.1,3.7,12.8,9.6,44.8,,,,,,,
Career,,,,,16,1,0-1-0,15,32,46.9,194,0,0.0,2,6.3,27,6.1,3.3,12.9,12.1,40.4,,,,,,0,0
