
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1949,23,RAM,,,8,0,,32,58,55.2,601,6,10.3,2,3.4,51,10.4,10.9,18.8,75.1,111.4,,,,,,,,
1950*,24,RAM,QB,25,12,6,5-1-0,127,233,54.5,2061,18,7.7,14,6.0,58,8.8,7.7,16.2,171.8,85.1,,,,,,,,
1951*,25,RAM,P/qb,25,12,2,1-1-0,100,194,51.5,1725,13,6.7,11,5.7,81,8.9,7.7,17.3,143.8,80.8,,,,,,0,1,
1952*,26,RAM,QB,11,12,6,6-0-0,113,205,55.1,1736,14,6.8,17,8.3,84,8.5,6.1,15.4,144.7,71.5,,,,,,,,
1953*,27,RAM,P/QB,11,12,12,8-3-1,156,286,54.5,2393,19,6.6,14,4.9,70,8.4,7.5,15.3,199.4,84.1,,,,,,0,0,
1954*,28,RAM,P/QB,11,12,11,6-4-1,139,260,53.5,2637,13,5.0,21,8.1,80,10.1,7.5,19.0,219.8,71.9,,,,,,0,0,
1955*,29,RAM,P/QB,11,12,12,8-3-1,144,272,52.9,1890,8,2.9,15,5.5,74,6.9,5.1,13.1,157.5,62.0,,,,,,,,
1956,30,RAM,P/qb,11,12,4,2-2-0,68,124,54.8,966,7,5.6,12,9.7,58,7.8,4.6,14.2,80.5,59.5,,,,,,0,0,
1957,31,RAM,P/QB,11,12,12,6-6-0,132,265,49.8,2105,20,7.5,21,7.9,70,7.9,5.9,15.9,175.4,68.8,,,,,,0,0,
1958*,32,PHI,P/QB,11,12,12,2-9-1,198,374,52.9,2409,15,4.0,20,5.3,91,6.4,4.8,12.2,200.8,64.1,,,,,,0,0,
1959*,33,PHI,P/QB,11,12,12,7-5-0,191,340,56.2,2617,16,4.7,14,4.1,71,7.7,6.8,13.7,218.1,79.5,,,,,,0,0,
1960*+,34,PHI,P/QB,11,12,12,10-2-0,153,284,53.9,2471,24,8.5,17,6.0,64,8.7,7.7,16.2,205.9,86.5,,,,,,6,5,17
Career,,,,,140,101,61-36-4,1553,2895,53.6,23611,173,6.0,178,6.1,91,8.2,6.6,15.2,168.7,75.1,,,,,,6,6,17
9 yrs,,RAM,,,104,65,42-20-3,1011,1897,53.3,16114,118,6.2,127,6.7,84,8.5,6.7,15.9,154.9,74.7,,,,,,0,1,
3 yrs,,PHI,,,36,36,19-16-1,542,998,54.3,7497,55,5.5,51,5.1,91,7.5,6.3,13.8,208.3,75.7,,,,,,6,5,17
