
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1940,24,PIT,qb,,11,2,40,39,0,0,1.0,3.5,3.6,,4,55,13.8,0,0,0.4,5.0,94,0,0
1941,25,PHI,qb,,11,5,54,-2,0,14,0.0,-0.2,4.9,,4,30,7.5,1,0,0.4,2.7,28,1,0
1942*,26,PHI,QB,,11,10,92,-32,1,22,-0.3,-2.9,8.4,,,,,,,,,-32,1,0
1945,29,PHI,,,8,0,8,-13,0,7,-1.6,-1.6,1.0,,,,,,,,,-13,0,3
1946,30,PHI,qb,,10,3,34,-116,0,6,-3.4,-11.6,3.4,,,,,,,,,-116,0,8
1947,31,PHI,QB,,12,1,23,52,2,16,2.3,4.3,1.9,,,,,,,,,52,2,6
1948,32,PHI,QB,,12,4,12,46,1,13,3.8,3.8,1.0,,,,,,,,,46,1,0
1949,33,PHI,QB,,12,9,15,17,2,5,1.1,1.4,1.3,,,,,,,,,17,2,4
1950,34,PHI,QB,11,12,12,15,34,0,7,2.3,2.8,1.3,,,,,,,,,34,0,3
Career,,,,,99,46,293,25,6,22,0.1,0.3,3.0,,8,85,10.6,1,0,0.1,0.9,110,7,24
8 yrs,,PHI,,,88,44,253,-14,6,22,-0.1,-0.2,2.9,,4,30,7.5,1,0,0.0,0.3,16,7,24
1 yr,,PIT,,,11,2,40,39,0,0,1.0,3.5,3.6,,4,55,13.8,0,0,0.4,5.0,94,0,0
