
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1956,23,BAL,QB,19,12,7,3-4-0,110,198,55.6,1498,9,4.5,10,5.1,54,7.6,6.2,13.6,124.8,74.0,,,,,,0,0,
1957*,24,BAL,QB,19,12,12,7-5-0,172,301,57.1,2550,24,8.0,17,5.6,82,8.5,7.5,14.8,212.5,88.0,,,,,,0,0,
1958*+,25,BAL,QB,19,10,9,8-2-0,136,263,51.7,2007,19,7.2,7,2.7,77,7.6,7.9,14.8,200.7,90.0,,,,,,1,1,
1959*+,26,BAL,QB,19,12,12,9-3-0,193,367,52.6,2899,32,8.7,14,3.8,71,7.9,7.9,15.0,241.6,92.0,,,,,,1,1,
1960*,27,BAL,QB,19,12,12,6-6-0,190,378,50.3,3099,25,6.6,24,6.3,80,8.2,6.7,16.3,258.3,73.7,,,,,,1,2,16
1961*,28,BAL,QB,19,14,14,8-6-0,229,420,54.5,2990,16,3.8,24,5.7,72,7.1,5.3,13.1,213.6,66.1,,,,,,3,4,14
1962*,29,BAL,QB,19,14,14,7-7-0,222,389,57.1,2967,23,5.9,23,5.9,80,7.6,6.1,13.4,211.9,76.5,,,,,,3,3,10
1963*,30,BAL,QB,19,14,14,8-6-0,237,410,57.8,3481,20,4.9,12,2.9,64,8.5,8.1,14.7,248.6,89.7,,,,,,3,3,14
1964*+,31,BAL,QB,19,14,14,12-2-0,158,305,51.8,2824,19,6.2,6,2.0,74,9.3,9.6,17.9,201.7,96.4,,,,,,2,2,17
1965+,32,BAL,QB,19,11,11,8-2-1,164,282,58.2,2530,23,8.2,12,4.3,61,9.0,8.7,15.4,230.0,97.4,,,,,,3,2,14
1966*,33,BAL,QB,19,14,13,9-4-0,195,348,56.0,2748,22,6.3,24,6.9,89,7.9,6.1,14.1,196.3,74.0,,,,,,1,1,12
1967*+,34,BAL,QB,19,14,14,11-1-2,255,436,58.5,3428,20,4.6,16,3.7,88,7.9,7.1,13.4,244.9,83.6,,,,,,4,3,19
1968,35,BAL,,19,5,,,11,32,34.4,139,2,6.3,4,12.5,37,4.3,0.0,12.6,27.8,30.1,,,,,,0,1,1
1969,36,BAL,QB,19,13,12,7-5-0,178,327,54.4,2342,12,3.7,20,6.1,52,7.2,5.1,13.2,180.2,64.0,12,93,6.63,4.69,3.5,2,3,9
1970,37,BAL,QB,19,14,13,10-2-1,166,321,51.7,2213,14,4.4,18,5.6,55,6.9,5.2,13.3,158.1,65.1,19,158,6.04,4.49,5.6,3,3,10
1971,38,BAL,qb,19,13,5,3-2-0,92,176,52.3,942,3,1.7,9,5.1,35,5.4,3.4,10.2,72.5,52.3,15,129,4.26,2.45,7.9,,,4
1972,39,BAL,qb,19,8,5,1-4-0,88,157,56.1,1111,4,2.5,6,3.8,63,7.1,5.9,12.6,138.9,70.8,14,114,5.83,4.72,8.2,,,4
1973,40,SDG,qb,19,5,4,1-3-0,34,76,44.7,471,3,3.9,7,9.2,51,6.2,2.8,13.9,94.2,40.0,14,96,4.17,1.33,15.6,,,1
Career,,,,,211,185,118-64-4,2830,5186,54.6,40239,290,5.6,253,4.9,89,7.8,6.7,14.2,190.7,78.2,74,590,7.54,6.48,1.4,27,29,145
17 yrs,,BAL,,,206,181,117-61-4,2796,5110,54.7,39768,287,5.6,246,4.8,89,7.8,6.7,14.2,193.0,78.8,60,494,5.87,4.22,5.8,27,29,144
1 yr,,SDG,,,5,4,1-3-0,34,76,44.7,471,3,3.9,7,9.2,51,6.2,2.8,13.9,94.2,40.0,14,96,4.17,1.33,15.6,,,1
