
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1947,25,WAS,,,4,0,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0,
1948,26,WAS,qb,,11,2,,12,28,42.9,157,2,7.1,2,7.1,35,5.6,3.8,13.1,14.3,55.2,,,,,,0,0,
1949,27,WAS,,,12,0,,3,7,42.9,44,0,0.0,0,0.0,31,6.3,6.3,14.7,3.7,64.0,,,,,,0,0,
Career,,,,,27,2,,15,35,42.9,201,2,5.7,2,5.7,35,5.7,4.3,13.4,7.4,57.0,,,,,,0,0,
