
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1953,22,CRD,QB,9,11,6,26,12,1,19,0.5,1.1,2.4,,,,,,,,,12,1,7
1956,25,CRD,qb,17,9,2,17,45,2,18,2.6,5.0,1.9,,,,,,,,,45,2,2
Career,,,,,20,8,43,57,3,19,1.3,2.9,2.2,,,,,,,,,57,3,9
