
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1947,28,BCL,qb,,14,10,,4,11,36.4,49,0,0.0,1,9.1,0,4.5,0.4,12.3,3.5,13.1,,,,,,0,0,
Career,,,,,14,10,,4,11,36.4,49,0,0.0,1,9.1,0,4.5,0.4,12.3,3.5,13.1,,,,,,0,0,
