
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1939,24,2TM,,,11,1,29,75,0,0,2.6,6.8,2.6,,1,3,3.0,1,3,0.1,0.3,78,1,0
,,CRD,tb,,4,1,6,12,0,0,2.0,3.0,1.5,,,,,,,,,12,0,0
,,PIT,,,7,0,23,63,0,0,2.7,9.0,3.3,,1,3,3.0,1,3,0.1,0.4,66,1,0
1940,25,PIT,,,4,0,15,33,1,0,2.2,8.3,3.8,,,,,,,,,33,1,0
1941,26,PIT,tb,,6,1,20,64,0,28,3.2,10.7,3.3,,,,,,,,,64,0,0
1944,29,CRD,,,2,0,3,7,0,4,2.3,3.5,1.5,,,,,,,,,7,0,0
Career,,,,,23,2,67,179,1,28,2.7,7.8,2.9,,1,3,3.0,1,3,0.0,0.1,182,2,0
3 yrs,,PIT,,,17,1,58,160,1,28,2.8,9.4,3.4,,1,3,3.0,1,3,0.1,0.2,163,2,0
2 yrs,,CRD,,,6,1,9,19,0,4,2.1,3.2,1.5,,,,,,,,,19,0,0
