
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1945+,25,RAM,K/P/QB,,10,4,18,18,5,16,1.0,1.8,1.8,,,,,,,,,18,5,9
1946+,26,RAM,K/P/QB,,11,4,16,-60,1,6,-3.8,-5.5,1.5,,,,,,,,,-60,1,6
1947,27,RAM,K/P/QB,,12,8,3,6,1,4,2.0,0.5,0.3,,2,14,7.0,0,18,0.2,1.2,20,1,2
1948,28,RAM,K/P/QB,,11,8,7,12,0,10,1.7,1.1,0.6,,,,,,,,,12,0,5
1949+,29,RAM,K/P/QB,,12,11,5,-4,1,5,-0.8,-0.3,0.4,,,,,,,,,-4,1,4
1950*,30,RAM,K/P/qb,7,12,6,8,14,1,13,1.8,1.2,0.7,,,,,,,,,14,1,4
1951*,31,RAM,K/QB,7,11,10,9,49,3,25,5.4,4.5,0.8,,,,,,,,,49,3,2
1952,32,RAM,K/P/qb,7,12,6,9,-14,1,19,-1.6,-1.2,0.8,,1,5,5.0,0,5,0.1,0.4,-9,1,4
Career,,,,,91,57,75,21,13,25,0.3,0.2,0.8,,3,19,6.3,0,18,0.0,0.2,40,13,36
