
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1948,22,CHI,,,11,1,,16,52,30.8,232,3,5.8,2,3.8,35,4.5,3.9,14.5,21.1,49.5,,,,,,0,0,
1949,23,NYY,QB,,12,12,,155,299,51.8,1796,9,3.0,18,6.0,69,6.0,3.9,11.6,149.7,55.3,,,,,,0,0,
1950,24,DET,QB,22,12,12,6-6-0,152,336,45.2,2323,16,4.8,18,5.4,82,6.9,5.5,15.3,193.6,62.1,,,,,,0,0,
1951*,25,DET,QB,22,12,12,7-4-1,152,332,45.8,2403,26,7.8,23,6.9,63,7.2,5.7,15.8,200.3,67.6,,,,,,0,0,
1952*+,26,DET,QB,22,12,11,9-2-0,139,287,48.4,1999,19,6.6,20,7.0,77,7.0,5.2,14.4,166.6,64.5,,,,,,,,
1953*,27,DET,QB,22,12,11,9-2-0,125,273,45.8,2088,16,5.9,21,7.7,97,7.6,5.4,16.7,174.0,59.6,,,,,,1,1,
1954,28,DET,QB,22,12,8,6-1-1,135,246,54.9,1818,14,5.7,12,4.9,55,7.4,6.3,13.5,151.5,77.3,,,,,,,,
1955,29,DET,QB,22,12,10,3-7-0,143,270,53.0,1830,11,4.1,17,6.3,77,6.8,4.8,12.8,152.5,61.8,,,,,,0,0,
1956*+,30,DET,K/QB,22,12,12,9-3-0,129,244,52.9,1909,9,3.7,17,7.0,70,7.8,5.4,14.8,159.1,62.0,,,,,,0,0,
1957,31,DET,K/qb,22,11,7,4-3-0,87,179,48.6,1169,6,3.4,12,6.7,65,6.5,4.2,13.4,106.3,53.0,,,,,,0,0,
1958*,32,2TM,,,12,11,7-3-1,145,294,49.3,2510,14,4.8,12,4.1,78,8.5,7.7,17.3,209.2,77.6,,,,,,0,0,
,,PIT,QB,22,10,10,7-2-1,133,268,49.6,2339,13,4.9,10,3.7,78,8.7,8.0,17.6,233.9,80.4,,,,,,0,0,
,,DET,qb,22,2,1,0-1-0,12,26,46.2,171,1,3.8,2,7.7,0,6.6,3.9,14.3,85.5,48.7,,,,,,0,0,
1959*,33,PIT,K/QB,22,12,12,6-5-1,142,297,47.8,1986,20,6.7,21,7.1,48,6.7,4.9,14.0,165.5,62.8,,,,,,0,0,
1960,34,PIT,K/QB,22,12,9,5-6-0,103,209,49.3,1814,13,6.2,17,8.1,70,8.7,6.3,17.6,151.2,66.2,,,,,,1,2,10
1961,35,PIT,QB,22,8,6,2-5-0,75,149,50.3,1205,11,7.4,16,10.7,53,8.1,4.7,16.1,150.6,62.8,,,,,,,,4
1962,36,PIT,QB,22,13,11,7-4-0,116,233,49.8,1686,9,3.9,17,7.3,62,7.2,4.7,14.5,129.7,56.2,,,,,,2,2,7
Career,,,,,175,145,80-51-4,1814,3700,49.0,26768,196,5.3,243,6.6,97,7.2,5.3,14.8,153.0,63.4,,,,,,4,5,21
9 yrs,,DET,,,97,84,53-29-2,1074,2193,49.0,15710,118,5.4,142,6.5,97,7.2,5.3,14.6,162.0,63.7,,,,,,1,1,
5 yrs,,PIT,,,55,48,27-22-2,569,1156,49.2,9030,66,5.7,81,7.0,78,7.8,5.8,15.9,164.2,65.5,,,,,,3,4,21
1 yr,,CHI,,,11,1,,16,52,30.8,232,3,5.8,2,3.8,35,4.5,3.9,14.5,21.1,49.5,,,,,,0,0,
1 yr,,NYY,,,12,12,,155,299,51.8,1796,9,3.0,18,6.0,69,6.0,3.9,11.6,149.7,55.3,,,,,,0,0,
