
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1934,21,BOS,hb,,10,2,19,123,1,59,6.5,12.3,1.9,,1,25,25.0,0,25,0.1,2.5,148,1,0,
1935,22,2TM,,,9,1,15,43,0,0,2.9,4.8,1.7,,,,,,,,,43,0,0,
,,BKN,,,3,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0,
,,BOS,hb,,6,1,15,43,0,0,2.9,7.2,2.5,,,,,,,,,43,0,0,
Career,,,,,19,3,34,166,1,59,4.9,8.7,1.8,,1,25,25.0,0,25,0.1,1.3,191,1,0,
2 yrs,,BOS,,,16,3,34,166,1,59,4.9,10.4,2.1,,1,25,25.0,0,25,0.1,1.6,191,1,0,
1 yr,,BKN,,,3,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0,
