
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1954,24,NYG,,11,2,,,4,9,44.4,56,0,0.0,2,22.2,31,6.2,-3.8,14.0,28.0,25.5,,,,,,0,0,
1955,25,NYG,qb,11,10,8,5-2-1,31,67,46.3,413,2,3.0,2,3.0,37,6.2,5.4,13.3,41.3,63.8,,,,,,0,0,
1956,26,NYG,qb,11,12,12,8-3-1,37,88,42.0,369,5,5.7,5,5.7,43,4.2,2.8,10.0,30.8,49.9,,,,,,,,
1957,27,NYG,qb,11,4,4,1-3-0,11,26,42.3,224,1,3.8,1,3.8,63,8.6,7.7,20.4,56.0,70.0,,,,,,0,0,
1958,28,NYG,qb,11,7,6,5-1-0,26,68,38.2,369,4,5.9,2,2.9,41,5.4,5.3,14.2,52.7,63.9,,,,,,,,
1959,29,NYG,qb,11,8,2,1-1-0,22,58,37.9,329,1,1.7,6,10.3,49,5.7,1.4,15.0,41.1,23.5,,,,,,0,0,
1960,30,DAL,qb,11,12,1,0-1-0,23,61,37.7,371,3,4.9,3,4.9,64,6.1,4.9,16.1,30.9,54.7,,,,,,,,1
1962,32,OAK,qb,11,1,1,0-1-0,10,29,34.5,156,1,3.4,2,6.9,25,5.4,3.0,15.6,156.0,36.0,,,,,,,,0
Career,,,,,56,34,20-12-2,164,406,40.4,2287,17,4.2,23,5.7,64,5.6,3.9,13.9,40.8,49.6,,,,,,0,0,1
6 yrs,,NYG,,,43,32,20-10-2,131,316,41.5,1760,13,4.1,18,5.7,63,5.6,3.8,13.4,40.9,49.8,,,,,,0,0,
1 yr,,DAL,,,12,1,0-1-0,23,61,37.7,371,3,4.9,3,4.9,64,6.1,4.9,16.1,30.9,54.7,,,,,,,,1
1 yr,,OAK,,,1,1,0-1-0,10,29,34.5,156,1,3.4,2,6.9,25,5.4,3.0,15.6,156.0,36.0,,,,,,,,0
