
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1946,26,CHI,qb,,11,3,12,-11,0,6,-0.9,-1.0,1.1,,1,16,16.0,0,16,0.1,1.5,5,0,2
1947,27,CHI,,,9,0,1,-3,0,-3,-3.0,-0.3,0.1,,,,,,,,,-3,0,0
1948,28,CHR,,,13,0,4,5,0,0,1.3,0.4,0.3,,,,,,,,,5,0,0
Career,,,,,33,3,17,-9,0,6,-0.5,-0.3,0.5,,1,16,16.0,0,16,0.0,0.5,7,0,2
2 yrs,,CHI,,,20,3,13,-14,0,6,-1.1,-0.7,0.7,,1,16,16.0,0,16,0.1,0.8,2,0,2
1 yr,,CHR,,,13,0,4,5,0,0,1.3,0.4,0.3,,,,,,,,,5,0,0
