
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1947,21,BUF,QB,,14,4,,124,244,50.8,1840,22,9.0,20,8.2,61,7.5,5.7,14.8,131.4,71.8,,,,,,0,0,
1948,22,BUF,QB,,14,13,,168,335,50.1,2577,16,4.8,22,6.6,71,7.7,5.7,15.3,184.1,64.5,,,,,,,,
1949,23,BUF,QB,,11,11,,146,252,57.9,1777,14,5.6,13,5.2,0,7.1,5.8,12.2,161.5,76.8,,,,,,,,
1950,24,NYY,QB,61,12,12,7-5-0,140,294,47.6,2251,22,7.5,24,8.2,69,7.7,5.5,16.1,187.6,64.6,,,,,,0,0,
1951,25,NYY,qb,25,6,1,0-0-1,31,67,46.3,340,2,3.0,6,9.0,36,5.1,1.6,11.0,56.7,34.4,,,,,,0,0,
1952,26,CLE,,16,6,,,2,6,33.3,20,1,16.7,2,33.3,11,3.3,-8.3,10.0,3.3,43.7,,,,,,0,0,
1953,27,CLE,qb,16,9,1,1-0-0,23,41,56.1,301,4,9.8,0,0.0,45,7.3,9.3,13.1,33.4,111.9,,,,,,,,
1954,28,CLE,,16,6,,,32,53,60.4,465,3,5.7,3,5.7,48,8.8,7.4,14.5,77.5,84.2,,,,,,,,
1955,29,CLE,,16,10,,,32,47,68.1,504,6,12.8,3,6.4,35,10.7,10.4,15.8,50.4,116.5,,,,,,0,0,
1956,30,CLE,qb,16,4,4,1-3-0,39,57,68.4,398,1,1.8,3,5.3,46,7.0,5.0,10.2,99.5,72.1,,,,,,0,0,
Career,,,,,92,46,9-8-1,737,1396,52.8,10473,91,6.5,96,6.9,71,7.5,5.7,14.2,113.8,70.4,,,,,,0,0,
5 yrs,,CLE,,,35,5,2-3-0,128,204,62.7,1688,15,7.4,11,5.4,48,8.3,7.3,13.2,48.2,90.9,,,,,,0,0,
3 yrs,,BUF,,,39,28,,438,831,52.7,6194,52,6.3,55,6.6,71,7.5,5.7,14.1,158.8,70.3,,,,,,0,0,
2 yrs,,NYY,,,18,13,7-5-1,171,361,47.4,2591,24,6.6,30,8.3,69,7.2,4.8,15.2,143.9,59.0,,,,,,0,0,
