
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1936,24,NYG,FB,,12,4,206,830,2,0,4.0,69.2,17.2,,4,22,5.5,0,8,0.3,1.8,852,2,0,
1937,25,NYG,FB,,9,8,144,429,0,0,3.0,47.7,16.0,,11,157,14.3,1,18,1.2,17.4,586,1,0,
1938*,26,NYG,FB,,10,3,121,463,4,75,3.8,46.3,12.1,,4,68,17.0,0,45,0.4,6.8,531,4,0,
1939+,27,NYG,FB,,10,2,128,429,3,0,3.4,42.9,12.8,,8,185,23.1,2,50,0.8,18.5,614,5,0,
1940,28,NYG,FB,,10,2,132,474,1,0,3.6,47.4,13.2,,,,,,,,,474,1,0,
1941*,29,NYG,PR/TB,,11,11,100,332,4,26,3.3,30.2,9.1,,,,,,,,,332,4,0,
1942,30,NYG,TB,,8,6,51,116,3,16,2.3,14.5,6.4,,1,-10,-10.0,0,-10,0.1,-1.3,106,3,0,
1943,31,NYG,TB,,10,1,37,59,0,13,1.6,5.9,3.7,,,,,,,,,59,0,0,
Career,,,,,80,37,919,3132,17,75,3.4,39.2,11.5,,28,422,15.1,3,50,0.4,5.3,3554,20,0,
