
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1946,25,CLE,PR/QB,,14,9,,95,174,54.6,1834,17,9.8,5,2.9,79,10.5,11.2,19.3,131.0,112.1,,,,,,,,
1947+,26,CLE,PR/QB,,14,9,,163,269,60.6,2753,25,9.3,11,4.1,99,10.2,10.3,16.9,196.6,109.2,,,,,,,,
1948+,27,CLE,QB,,14,14,,173,333,52.0,2713,25,7.5,15,4.5,78,8.1,7.6,15.7,193.8,85.6,,,,,,,,
1949+,28,CLE,QB,,12,11,,161,285,56.5,2785,19,6.7,10,3.5,74,9.8,9.5,17.3,232.1,97.5,,,,,,,,
1950*,29,CLE,QB,60,12,12,10-2-0,137,253,54.2,1943,14,5.5,20,7.9,80,7.7,5.2,14.2,161.9,64.7,,,,,,1,2,
1951*+,30,CLE,QB,60,12,12,11-1-0,147,265,55.5,2205,17,6.4,16,6.0,81,8.3,6.9,15.0,183.8,79.2,,,,,,,,
1952*,31,CLE,QB,14,12,12,8-4-0,181,364,49.7,2816,20,5.5,24,6.6,68,7.7,5.9,15.6,234.7,66.6,,,,,,,,
1953*+,32,CLE,QB,14,12,11,10-1-0,167,258,64.7,2722,11,4.3,9,3.5,70,10.6,9.8,16.3,226.8,99.7,,,,,,,,
1954*+,33,CLE,QB,14,12,12,9-3-0,142,240,59.2,2092,11,4.6,17,7.1,64,8.7,6.4,14.7,174.3,73.5,,,,,,,,
1955+,34,CLE,QB,14,12,12,9-2-1,98,185,53.0,1721,15,8.1,8,4.3,61,9.3,9.0,17.6,143.4,94.0,,,,,,,,
Career,,,,,126,114,57-13-1,1464,2626,55.8,23584,174,6.6,135,5.1,99,9.0,8.0,16.1,187.2,86.6,,,,,,1,2,
