
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1958,22,BAL,P/RS,17,12,12,,1,2,50.0,-1,0,0.0,0,0.0,-1,-0.5,-0.5,-1.0,-0.1,56.2,,,,,,,
1959,23,BAL,RS,17,12,,,1,4,25.0,14,0,0.0,0,0.0,14,3.5,3.5,14.0,1.2,41.7,,,,,,,
1960,24,BAL,P,17,12,,,6,13,46.2,65,1,7.7,0,0.0,21,5.0,6.5,10.8,5.4,87.0,,,,,,,
Career,,,,,36,12,,8,19,42.1,78,1,5.3,0,0.0,21,4.1,5.2,9.8,2.2,71.8,,,,,,,
