
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1951,27,CHI,qb,12,12,6,12,23,1,10,1.9,1.9,1.0,,,,,,,,,23,1,2
1952,28,CHI,qb,12,10,3,6,9,0,7,1.5,0.9,0.6,,,,,,,,,9,0,2
1953,29,2TM,,,7,4,2,1,1,1,0.5,0.1,0.3,,,,,,,,,1,1,0
,,CRD,qb,12,6,4,1,1,1,1,1.0,0.2,0.2,,,,,,,,,1,1,0
,,CHI,,12,1,,1,0,0,0,0.0,0.0,1.0,,,,,,,,,0,0,0
1954,30,CRD,qb,12,8,1,7,2,1,4,0.3,0.3,0.9,,,,,,,,,2,1,3
Career,,,,,38,14,27,35,3,10,1.3,0.9,0.7,,,,,,,,,35,3,7
4 yrs,,CHI,,,24,9,19,32,1,10,1.7,1.3,0.8,,,,,,,,,32,1,4
2 yrs,,CRD,,,14,5,8,3,2,4,0.4,0.2,0.6,,,,,,,,,3,2,3
