
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1956,22,SFO,P,11,12,4,1-3-0,38,78,48.7,621,1,1.3,6,7.7,37,8.0,4.8,16.3,51.8,48.1,,,,,,0,0,
1957*,23,PIT,QB,10,12,11,6-5-0,139,289,48.1,1900,11,3.8,12,4.2,64,6.6,5.5,13.7,158.3,64.9,,,,,,0,0,
1958,24,2TM,,,11,2,0-2-0,25,78,32.1,463,5,6.4,9,11.5,66,5.9,2.0,18.5,42.1,35.3,,,,,,0,0,
,,PIT,qb,10,2,2,0-2-0,16,46,34.8,275,1,2.2,7,15.2,66,6.0,-0.4,17.2,137.5,23.6,,,,,,0,0,
,,DET,,14,9,,,9,32,28.1,188,4,12.5,2,6.3,66,5.9,5.6,20.9,20.9,65.1,,,,,,0,0,
1959,25,DET,QB,14,12,5,2-3-0,65,137,47.4,1102,5,3.6,6,4.4,79,8.0,6.8,17.0,91.8,69.1,,,,,,0,0,
1960,26,DET,qb,14,12,2,2-0-0,32,49,65.3,423,4,8.2,3,6.1,65,8.6,7.5,13.2,35.3,94.2,,,,,,1,1,2
1961,27,DET,qb,14,13,6,4-2-0,69,150,46.0,909,7,4.7,9,6.0,61,6.1,4.3,13.2,69.9,56.2,,,,,,2,2,3
1962,28,DET,,14,14,,,32,52,61.5,449,4,7.7,4,7.7,53,8.6,6.7,14.0,32.1,82.9,,,,,,1,1,2
1963,29,DET,QB,14,14,10,4-5-1,174,328,53.0,2621,24,7.3,14,4.3,75,8.0,7.5,15.1,187.2,86.2,,,,,,1,0,12
1964,30,DET,qb,14,6,3,3-0-0,50,91,54.9,588,4,4.4,3,3.3,48,6.5,5.9,11.8,98.0,75.7,,,,,,1,1,3
1965,31,NYG,QB,11,14,14,7-7-0,155,302,51.3,2446,22,7.3,12,4.0,89,8.1,7.8,15.8,174.7,86.3,,,,,,2,2,11
1966,32,NYG,QB,11,7,7,1-5-1,71,151,47.0,1105,7,4.6,12,7.9,98,7.3,4.7,15.6,157.9,54.1,,,,,,1,1,4
1967,33,NYG,,11,8,,,13,24,54.2,181,3,12.5,1,4.2,27,7.5,8.2,13.9,22.6,100.9,,,,,,,,1
1968*+,34,BAL,QB,15,14,14,13-1-0,182,317,57.4,2909,26,8.2,17,5.4,84,9.2,8.4,16.0,207.8,93.2,,,,,,,,17
1969,35,BAL,qb,15,9,2,1-0-1,46,99,46.5,755,5,5.1,7,7.1,42,7.6,5.5,16.4,83.9,60.0,7,63,6.53,4.50,6.6,1,0,3
1970,36,BAL,qb,15,14,1,1-0-0,51,93,54.8,792,9,9.7,4,4.3,44,8.5,8.5,15.5,56.6,97.6,14,131,6.18,6.18,13.1,1,1,3
1971,37,BAL,QB,15,14,9,7-2-0,84,167,50.3,1210,7,4.2,12,7.2,64,7.2,4.9,14.4,86.4,58.2,11,89,6.30,4.05,6.2,1,0,7
1972+,38,MIA,QB,15,14,9,9-0-0,83,150,55.3,1360,11,7.3,7,4.7,49,9.1,8.4,16.4,97.1,91.0,14,114,7.60,7.02,8.5,2,2,11
1973,39,MIA,qb,15,14,1,0-1-0,17,38,44.7,253,0,0.0,4,10.5,53,6.7,1.9,14.9,18.1,27.5,2,18,5.88,1.38,5.0,,,2
1974,40,MIA,qb,15,14,1,1-0-0,17,27,63.0,301,2,7.4,3,11.1,46,11.1,7.6,17.7,21.5,86.1,3,16,9.50,6.33,10.0,1,1,2
1975,41,MIA,qb,15,13,1,1-0-0,26,43,60.5,273,3,7.0,2,4.7,31,6.3,5.7,10.5,21.0,82.8,4,27,5.23,4.60,8.5,1,1,2
1976,42,MIA,,15,14,0,,10,26,38.5,148,1,3.8,1,3.8,67,5.7,4.7,14.8,10.6,54.6,3,29,4.10,3.24,10.3,,,1
Career,,,,,255,102,63-36-3,1379,2689,51.3,20809,161,6.0,148,5.5,98,7.7,6.5,15.1,81.6,74.1,58,487,7.40,6.15,2.1,16,13,86
7 yrs,,DET,,,80,26,15-10-1,431,839,51.4,6280,52,6.2,41,4.9,79,7.5,6.5,14.6,78.5,76.4,,,,,,6,5,22
5 yrs,,MIA,,,69,12,11-1-0,153,284,53.9,2335,17,6.0,17,6.0,67,8.2,6.7,15.3,33.8,76.2,26,204,6.87,5.50,8.4,4,4,18
4 yrs,,BAL,,,51,26,22-3-1,363,676,53.7,5666,47,7.0,40,5.9,84,8.4,7.1,15.6,111.1,80.3,32,283,6.33,4.75,8.2,3,1,30
3 yrs,,NYG,,,29,21,8-12-1,239,477,50.1,3732,32,6.7,25,5.2,98,7.8,6.8,15.6,128.7,77.0,,,,,,3,3,16
2 yrs,,PIT,,,14,13,6-7-0,155,335,46.3,2175,12,3.6,19,5.7,66,6.5,4.7,14.0,155.4,56.0,,,,,,0,0,
1 yr,,SFO,,,12,4,1-3-0,38,78,48.7,621,1,1.3,6,7.7,37,8.0,4.8,16.3,51.8,48.1,,,,,,0,0,
