
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1948,24,DET,QB,,12,10,,100,221,45.2,1328,11,5.0,17,7.7,51,6.0,3.5,13.3,110.7,49.4,,,,,,0,0,
1949,25,DET,QB,,12,7,,63,142,44.4,793,6,4.2,5,3.5,58,5.6,4.8,12.6,66.1,61.7,,,,,,0,0,
1950,26,DET,,24,12,,,22,53,41.5,424,5,9.4,7,13.2,46,8.0,3.9,19.3,35.3,61.9,,,,,,0,0,
1951,27,DET,,24,12,,,2,9,22.2,22,0,0.0,1,11.1,12,2.4,-2.6,11.0,1.8,0.0,,,,,,0,0,
1952,28,PHI,,17,9,,,22,67,32.8,377,1,1.5,5,7.5,65,5.6,2.6,17.1,41.9,26.8,,,,,,0,0,
1953,29,BAL,QB,17,8,8,3-5-0,71,169,42.0,1054,8,4.7,15,8.9,55,6.2,3.2,14.8,131.8,41.9,,,,,,0,0,
1954,30,BAL,qb,17,3,1,0-1-0,17,28,60.7,171,0,0.0,3,10.7,42,6.1,1.3,10.1,57.0,38.5,,,,,,0,0,
Career,,,,,68,26,3-6-0,297,689,43.1,4169,31,4.5,53,7.7,65,6.1,3.5,14.0,61.3,46.2,,,,,,0,0,
4 yrs,,DET,,,48,17,,187,425,44.0,2567,22,5.2,30,7.1,58,6.0,3.9,13.7,53.5,51.8,,,,,,0,0,
2 yrs,,BAL,,,11,9,3-6-0,88,197,44.7,1225,8,4.1,18,9.1,55,6.2,2.9,13.9,111.4,40.7,,,,,,0,0,
1 yr,,PHI,,,9,0,,22,67,32.8,377,1,1.5,5,7.5,65,5.6,2.6,17.1,41.9,26.8,,,,,,0,0,
