
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1942*+,21,PIT,KR/PR/TB,,11,11,162,696,5,66,4.3,63.3,14.7,,1,24,24.0,0,24,0.1,2.2,720,5,0,
1945,24,PIT,TB,,4,4,57,204,3,32,3.6,51.0,14.3,,,,,,,,,204,3,1,
1946,25,PIT,K/KR/P/PR/TB,,11,11,146,604,2,41,4.1,54.9,13.3,,4,109,27.3,1,80,0.4,9.9,713,3,8,
1947,26,DET,KR/LH/PR,,9,8,80,302,2,28,3.8,33.6,8.9,,27,375,13.9,7,64,3.0,41.7,677,9,4,
1948,27,DET,LH,,7,4,33,97,0,11,2.9,13.9,4.7,,20,210,10.5,6,22,2.9,30.0,307,6,6,
1949,28,DET,K/LH/P,,12,11,125,402,3,26,3.2,33.5,10.4,,27,190,7.0,2,18,2.3,15.8,592,5,8,
1950*,29,WAS,K/RH/S,35,12,,66,339,1,27,5.1,28.3,5.5,,22,172,7.8,1,17,1.8,14.3,511,2,5,
1951*,30,WAS,K/LH/PR,35,12,,91,398,2,40,4.4,33.2,7.6,,22,303,13.8,1,40,1.8,25.3,701,3,4,
1953,32,WAS,K,35,12,,5,15,0,7,3.0,1.3,0.4,,,,,,,,,15,0,0,
Career,,,,,90,49,765,3057,18,66,4.0,34.0,8.5,,123,1383,11.2,18,80,1.4,15.4,4440,36,36,
3 yrs,,DET,,,28,23,238,801,5,28,3.4,28.6,8.5,,74,775,10.5,15,64,2.6,27.7,1576,20,18,
3 yrs,,PIT,,,26,26,365,1504,10,66,4.1,57.8,14.0,,5,133,26.6,1,80,0.2,5.1,1637,11,9,
3 yrs,,WAS,,,36,0,162,752,3,40,4.6,20.9,4.5,,44,475,10.8,2,40,1.2,13.2,1227,5,9,
