
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1960,22,BUF,qb,11,14,1,0-2-0,23,49,46.9,314,2,4.1,3,6.1,36,6.4,4.5,13.7,22.4,56.0,,,,,,,,3
1961,23,BUF,qb,11,8,2,1-1-0,20,50,40.0,282,2,4.0,4,8.0,45,5.6,2.8,14.1,35.3,38.9,,,,,,,,1
Career,,,,,22,3,1-3-0,43,99,43.4,596,4,4.0,7,7.1,45,6.0,3.6,13.9,27.1,47.4,,,,,,,,4
