
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1948,27,NYG,QB,,12,4,40,160,5,40,4.0,13.3,3.3,,,,,,,,,160,5,5
1949,28,NYG,QB,,12,12,23,42,0,7,1.8,3.5,1.9,,,,,,,,,42,0,4
1950*,29,NYG,QB,42,11,8,23,22,1,14,1.0,2.0,2.1,,,,,,,,,22,1,2
1951,30,NYG,P/QB,42,12,11,17,65,1,18,3.8,5.4,1.4,,,,,,,,,65,1,4
1952,31,NYG,QB,42,11,11,27,115,0,33,4.3,10.5,2.5,,,,,,,,,115,0,1
1953,32,NYG,QB,42,12,11,24,91,0,24,3.8,7.6,2.0,,,,,,,,,91,0,5
1954,33,NYG,QB,42,10,10,24,107,1,24,4.5,10.7,2.4,,,,,,,,,107,1,3
1955,34,NYG,QB,42,12,4,12,10,0,12,0.8,0.8,1.0,,,,,,,,,10,0,4
1956*,35,NYG,QB,42,12,,11,11,0,8,1.0,0.9,0.9,,,,,,,,,11,0,0
1957,36,NYG,QB,42,12,8,15,24,1,13,1.6,2.0,1.3,,,,,,,,,24,1,11
1958,37,NYG,QB,42,10,6,12,-17,0,11,-1.4,-1.7,1.2,,,,,,,,,-17,0,3
1959,38,NYG,QB,42,10,9,15,38,1,10,2.5,3.8,1.5,,,,,,,,,38,1,2
1960,39,NYG,QB,42,12,7,14,1,0,17,0.1,0.1,1.2,,,,,,,,,1,0,6
1961,40,NYG,qb,42,13,4,13,16,0,9,1.2,1.2,1.0,,,,,,,,,16,0,4
Career,,,,,161,105,270,685,10,40,2.5,4.3,1.7,,,,,,,,,685,10,54
