
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1954,24,NYG,,11,2,,1,0,0,0,0.0,0.0,0.5,,,,,,,,,0,0,1
1955,25,NYG,qb,11,10,8,7,4,2,5,0.6,0.4,0.7,,,,,,,,,4,2,1
1956,26,NYG,qb,11,12,12,5,-4,0,2,-0.8,-0.3,0.4,,,,,,,,,-4,0,2
1957,27,NYG,qb,11,4,4,4,10,2,7,2.5,2.5,1.0,,,,,,,,,10,2,2
1958,28,NYG,qb,11,7,6,5,4,1,6,0.8,0.6,0.7,,,,,,,,,4,1,1
1959,29,NYG,qb,11,8,2,2,3,0,9,1.5,0.4,0.3,,,,,,,,,3,0,1
1960,30,DAL,qb,11,12,1,2,3,0,3,1.5,0.3,0.2,,,,,,,,,3,0,0
1962,32,OAK,qb,11,1,1,1,4,0,4,4.0,4.0,1.0,,,,,,,,,4,0,0
Career,,,,,56,34,27,24,5,9,0.9,0.4,0.5,,,,,,,,,24,5,8
6 yrs,,NYG,,,43,32,24,17,5,9,0.7,0.4,0.6,,,,,,,,,17,5,8
1 yr,,DAL,,,12,1,2,3,0,3,1.5,0.3,0.2,,,,,,,,,3,0,0
1 yr,,OAK,,,1,1,1,4,0,4,4.0,4.0,1.0,,,,,,,,,4,0,0
