
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1952,26,PIT,P,28,12,,,1,3,33.3,14,0,0.0,0,0.0,14,4.7,4.7,14.0,1.2,49.3,,,,,,0,0
1953,27,PIT,P,18,12,,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,0,0
Career,,,,,36,,,1,4,25.0,14,0,0.0,0,0.0,14,3.5,3.5,14.0,0.4,41.7,,,,,,0,0
