
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1958,22,CLE,,15,4,1,0-1-0,8,17,47.1,139,1,5.9,3,17.6,34,8.2,1.4,17.4,34.8,55.4,,,,,,,,
1959,23,CLE,,15,2,,,3,10,30.0,41,0,0.0,1,10.0,20,4.1,-0.4,13.7,20.5,4.6,,,,,,0,0,
1960,24,DET,QB,15,11,10,5-5-0,134,283,47.3,1599,2,0.7,18,6.4,55,5.7,2.9,11.9,145.4,40.9,,,,,,0,1,6
1961,25,DET,QB,15,13,8,4-3-1,117,247,47.4,1921,7,2.8,18,7.3,84,7.8,5.1,16.4,147.8,53.0,,,,,,0,0,9
1962,26,CLE,qb,15,7,7,4-3-0,87,173,50.3,1178,7,4.0,8,4.6,53,6.8,5.5,13.5,168.3,66.6,,,,,,,,5
1963,27,CLE,qb,15,4,1,0-1-0,29,61,47.5,423,2,3.3,6,9.8,70,6.9,3.2,14.6,105.8,41.9,,,,,,,,2
1964,28,CLE,,11,3,,,6,9,66.7,125,2,22.2,0,0.0,41,13.9,18.3,20.8,41.7,149.3,,,,,,,,1
1965,29,CLE,qb,11,6,2,1-1-0,40,83,48.2,549,4,4.8,3,3.6,32,6.6,6.0,13.7,91.5,70.8,,,,,,1,1,3
1966,30,CLE,,11,14,,,11,18,61.1,175,4,22.2,1,5.6,44,9.7,11.7,15.9,12.5,110.0,,,,,,,,1
1967,31,WAS,,11,14,,,12,18,66.7,123,0,0.0,1,5.6,31,6.8,4.3,10.3,8.8,63.0,,,,,,,,0
1968,32,WAS,qb,11,7,2,1-1-0,49,95,51.6,633,4,4.2,6,6.3,56,6.7,4.7,12.9,90.4,60.5,,,,,,,,2
1969,33,NOR,,11,4,,,17,34,50.0,227,1,2.9,2,5.9,70,6.7,4.6,13.4,56.8,56.9,1,11,6.17,4.17,2.9,,,1
Career,,,,,89,31,15-15-1,513,1048,49.0,7133,34,3.2,67,6.4,84,6.8,4.6,13.9,80.1,55.4,1,11,6.79,4.56,0.1,1,2,30
7 yrs,,CLE,,,40,11,5-6-0,184,371,49.6,2630,20,5.4,22,5.9,70,7.1,5.5,14.3,65.8,66.2,,,,,,1,1,12
2 yrs,,DET,,,24,18,9-8-1,251,530,47.4,3520,9,1.7,36,6.8,84,6.6,3.9,14.0,146.7,46.6,,,,,,0,1,15
2 yrs,,WAS,,,21,2,1-1-0,61,113,54.0,756,4,3.5,7,6.2,56,6.7,4.6,12.4,36.0,60.9,,,,,,,,2
1 yr,,NOR,,,4,0,,17,34,50.0,227,1,2.9,2,5.9,70,6.7,4.6,13.4,56.8,56.9,1,11,6.17,4.17,2.9,,,1
