
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1939,22,CHI,qb,,7,1,3,-5,0,0,-1.7,-0.7,0.4,,1,42,42.0,0,42,0.1,6.0,37,0,0,
1940*,23,CHI,qb,,7,2,8,10,0,0,1.3,1.4,1.1,,,,,,,,,10,0,0,
Career,,,,,14,3,11,5,0,0,0.5,0.4,0.8,,1,42,42.0,0,42,0.1,3.0,47,0,0,
