
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1937,23,DET,BB,,11,7,35,187,0,0,5.3,17.0,3.2,,8,104,13.0,0,0,0.7,9.5,291,0,0,
1938,24,DET,TB,,11,8,69,181,1,0,2.6,16.5,6.3,,1,17,17.0,0,17,0.1,1.5,198,1,0,
Career,,,,,22,15,104,368,1,0,3.5,16.7,4.7,,9,121,13.4,0,17,0.4,5.5,489,1,0,
