
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1957,22,CLE,qb,16,9,3,2-1-0,41,76,53.9,590,2,2.6,5,6.6,58,7.8,5.3,14.4,65.6,60.7,,,,,,,,
1958,23,CLE,QB,16,12,11,9-2-0,102,189,54.0,1619,11,5.8,11,5.8,74,8.6,7.1,15.9,134.9,77.9,,,,,,,,
1959,24,CLE,QB,16,12,12,7-5-0,156,266,58.6,1992,14,5.3,8,3.0,76,7.5,7.2,12.8,166.0,87.2,,,,,,0,0,
1960*,25,CLE,QB,16,12,12,8-3-1,151,250,60.4,2297,21,8.4,5,2.0,86,9.2,10.0,15.2,191.4,110.4,,,,,,0,0,16
1961*,26,CLE,QB,16,14,13,7-5-1,177,302,58.6,2416,18,6.0,10,3.3,77,8.0,7.7,13.6,172.6,90.3,,,,,,2,2,12
1962,27,DET,QB,16,14,14,11-3-0,179,325,55.1,2378,15,4.6,20,6.2,80,7.3,5.5,13.3,169.9,68.2,,,,,,,,10
1963,28,DET,qb,16,10,4,1-3-0,27,77,35.1,339,2,2.6,12,15.6,39,4.4,-2.1,12.6,33.9,18.7,,,,,,,,2
1964,29,DET,QB,16,12,11,4-5-2,154,287,53.7,2241,18,6.3,15,5.2,92,7.8,6.7,14.6,186.8,78.5,,,,,,1,0,9
1965,30,DET,QB,16,14,11,4-6-1,143,308,46.4,1710,12,3.9,19,6.2,55,5.6,3.6,12.0,122.1,51.2,,,,,,1,2,4
1966,31,DET,qb,16,6,6,2-4-0,82,146,56.2,943,4,2.7,13,8.9,63,6.5,3.0,11.5,157.2,47.8,,,,,,,,3
1967,32,DET,qb,16,9,6,1-4-1,86,172,50.0,925,4,2.3,8,4.7,43,5.4,3.8,10.8,102.8,54.5,,,,,,,,3
1968,33,RAM,,16,4,,,5,12,41.7,49,1,8.3,1,8.3,25,4.1,2.0,9.8,12.3,46.9,,,,,,,,0
1969,34,NYG,,16,1,,,3,9,33.3,37,0,0.0,0,0.0,23,4.1,4.1,12.3,37.0,47.0,1,12,2.50,2.50,10.0,,,0
Career,,,,,129,103,56-41-6,1306,2419,54.0,17536,122,5.0,127,5.3,92,7.2,5.9,13.4,135.9,72.2,1,12,7.24,5.89,0.0,4,4,59
6 yrs,,DET,,,65,52,23-25-4,671,1315,51.0,8536,55,4.2,87,6.6,92,6.5,4.4,12.7,131.3,58.0,,,,,,2,2,31
5 yrs,,CLE,,,59,51,33-16-2,627,1083,57.9,8914,66,6.1,39,3.6,86,8.2,7.8,14.2,151.1,89.9,,,,,,2,2,28
1 yr,,NYG,,,1,0,,3,9,33.3,37,0,0.0,0,0.0,23,4.1,4.1,12.3,37.0,47.0,1,12,2.50,2.50,10.0,,,0
1 yr,,RAM,,,4,0,,5,12,41.7,49,1,8.3,1,8.3,25,4.1,2.0,9.8,12.3,46.9,,,,,,,,0
