
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1950,26,CHI,,12,1,,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,0,0,
1951,27,CHI,qb,12,12,6,3-2-0,43,101,42.6,791,3,3.0,9,8.9,54,7.8,4.4,18.4,65.9,43.0,,,,,,0,0,
1952,28,CHI,qb,12,10,3,1-2-0,49,126,38.9,772,4,3.2,11,8.7,49,6.1,2.8,15.8,77.2,34.2,,,,,,0,0,
1953,29,2TM,,,7,4,1-3-0,51,125,40.8,650,4,3.2,11,8.8,42,5.2,1.9,12.7,92.9,31.7,,,,,,0,0,
,,CRD,qb,12,6,4,1-3-0,50,117,42.7,641,4,3.4,9,7.7,42,5.5,2.7,12.8,106.8,39.9,,,,,,0,0,
,,CHI,,12,1,,,1,8,12.5,9,0,0.0,2,25.0,9,1.1,-10.1,9.0,9.0,0.0,,,,,,0,0,
1954,30,CRD,qb,12,8,1,1-0-0,36,79,45.6,343,2,2.5,5,6.3,38,4.3,2.0,9.5,42.9,40.2,,,,,,0,0,
Career,,,,,38,14,6-7-0,179,433,41.3,2556,13,3.0,36,8.3,54,5.9,2.8,14.3,67.3,36.5,,,,,,0,0,
4 yrs,,CHI,,,24,9,4-4-0,93,237,39.2,1572,7,3.0,22,9.3,54,6.6,3.0,16.9,65.5,33.6,,,,,,0,0,
2 yrs,,CRD,,,14,5,2-3-0,86,196,43.9,984,6,3.1,14,7.1,42,5.0,2.4,11.4,70.3,40.0,,,,,,0,0,
