
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1959,26,CRD,LS,33,12,2,9,20,0,7,2.2,1.7,0.8,,,,,,,,,20,0,2
1960,27,STL,QB,12,12,10,19,39,1,19,2.1,3.3,1.6,,,,,,,,,39,1,8
1961,28,GNB,,10,7,,2,-5,1,1,-2.5,-0.7,0.3,,,,,,,,,-5,1,1
1962,29,GNB,,10,8,,1,5,0,5,5.0,0.6,0.1,,,,,,,,,5,0,1
1963,30,GNB,qb,10,8,4,3,31,0,22,10.3,3.9,0.4,,,,,,,,,31,0,2
1964,31,DAL,qb,12,9,4,8,9,0,11,1.1,1.0,0.9,,,,,,,,,9,0,5
Career,,,,,64,20,42,99,2,22,2.4,1.5,0.7,,,,,,,,,99,2,19
3 yrs,,GNB,,,23,4,6,31,1,22,5.2,1.3,0.3,,,,,,,,,31,1,4
3 yrs,,STL-CRD,,,32,12,28,59,1,19,2.1,1.8,0.9,,,,,,,,,59,1,10
1 yr,,DAL,,,9,4,8,9,0,11,1.1,1.0,0.9,,,,,,,,,9,0,5
