
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1956,23,BAL,QB,19,12,7,28,155,1,34,5.5,12.9,2.3,,1,1,1.0,0,1,0.1,0.1,156,1,4
1957*,24,BAL,QB,19,12,12,42,171,1,24,4.1,14.3,3.5,,,,,,,,,171,1,7
1958*+,25,BAL,QB,19,10,9,33,139,3,28,4.2,13.9,3.3,,,,,,,,,139,3,5
1959*+,26,BAL,QB,19,12,12,29,145,2,21,5.0,12.1,2.4,,,,,,,,,145,2,6
1960*,27,BAL,QB,19,12,12,36,195,0,27,5.4,16.3,3.0,,,,,,,,,195,0,8
1961*,28,BAL,QB,19,14,14,54,190,2,18,3.5,13.6,3.9,,,,,,,,,190,2,9
1962*,29,BAL,QB,19,14,14,50,137,0,25,2.7,9.8,3.6,,,,,,,,,137,0,5
1963*,30,BAL,QB,19,14,14,47,224,0,26,4.8,16.0,3.4,,,,,,,,,224,0,13
1964*+,31,BAL,QB,19,14,14,37,162,2,20,4.4,11.6,2.6,,,,,,,,,162,2,6
1965+,32,BAL,QB,19,11,11,17,68,1,18,4.0,6.2,1.5,,,,,,,,,68,1,7
1966*,33,BAL,QB,19,14,13,20,44,1,16,2.2,3.1,1.4,,,,,,,,,44,1,5
1967*+,34,BAL,QB,19,14,14,22,89,0,13,4.0,6.4,1.6,,,,,,,,,89,0,4
1968,35,BAL,,19,5,,3,-1,0,5,-0.3,-0.2,0.6,,,,,,,,,-1,0,3
1969,36,BAL,QB,19,13,12,11,23,0,13,2.1,1.8,0.8,,,,,,,,,23,0,2
1970,37,BAL,QB,19,14,13,9,16,0,9,1.8,1.1,0.6,,,,,,,,,16,0,2
1971,38,BAL,qb,19,13,5,9,5,0,3,0.6,0.4,0.7,,,,,,,,,5,0,3
1972,39,BAL,qb,19,8,5,3,15,0,8,5.0,1.9,0.4,,,,,,,,,15,0,3
Career,,,,,211,185,450,1777,13,34,3.9,8.4,2.1,,1,1,1.0,0,1,0.0,0.0,1778,13,95
17 yrs,,BAL,,,206,181,450,1777,13,34,3.9,8.6,2.2,,1,1,1.0,0,1,0.0,0.0,1778,13,92
1 yr,,SDG,,,5,4,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,3
