
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1951,23,GNB,qb,28,11,1,5,-5,0,10,-1.0,-0.5,0.5,,,,,,,,,-5,0,2
1952,24,PHI,QB,11,12,9,17,88,0,23,5.2,7.3,1.4,,,,,,,,,88,0,3
1953*,25,PHI,QB,11,12,8,9,23,1,20,2.6,1.9,0.8,,,,,,,,,23,1,4
1954,26,PHI,qb,11,10,4,10,45,0,19,4.5,4.5,1.0,,,,,,,,,45,0,1
1955*,27,PHI,qb,11,10,4,17,29,0,20,1.7,2.9,1.7,,,,,,,,,29,0,4
1956*,28,PHI,QB,11,12,10,21,48,2,19,2.3,4.0,1.8,,,,,,,,,48,2,2
1957,29,PHI,QB,11,12,8,15,62,3,19,4.1,5.2,1.3,,,,,,,,,62,3,1
Career,,,,,85,44,94,290,6,23,3.1,3.4,1.1,,,,,,,,,290,6,17
6 yrs,,PHI,,,68,43,89,295,6,23,3.3,4.3,1.3,,,,,,,,,295,6,15
1 yr,,GNB,,,11,1,5,-5,0,10,-1.0,-0.5,0.5,,,,,,,,,-5,0,2
1 yr,,RAM,,,6,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
