
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1947,22,PHI,,,8,0,,8,17,47.1,58,2,11.8,3,17.6,15,3.4,-2.2,7.3,7.3,55.1,,,,,,0,0,
1948,23,PHI,qb,,10,1,,18,53,34.0,276,2,3.8,4,7.5,28,5.2,2.6,15.3,27.6,33.2,,,,,,0,0,
1949,24,PHI,,,7,0,,14,36,38.9,182,2,5.6,2,5.6,37,5.1,3.7,13.0,26.0,50.9,,,,,,0,0,
1950,25,PHI,,39,8,,,14,46,30.4,228,4,8.7,6,13.0,59,5.0,0.8,16.3,28.5,37.5,,,,,,0,0,
1951,26,PHI,,39,6,,,23,54,42.6,333,3,5.6,5,9.3,43,6.2,3.1,14.5,55.5,43.2,,,,,,0,0,
1953,28,2TM,,,7,3,2-1-0,54,109,49.5,506,2,1.8,8,7.3,36,4.6,1.7,9.4,72.3,38.2,,,,,,0,0,
,,PIT,qb,13,4,3,2-1-0,48,94,51.1,453,1,1.1,5,5.3,36,4.8,2.6,9.4,113.3,46.1,,,,,,0,0,
,,NYG,,20,3,,,6,15,40.0,53,1,6.7,3,20.0,0,3.5,-4.1,8.8,17.7,32.8,,,,,,0,0,
Career,,,,,46,4,2-1-0,131,315,41.6,1583,15,4.8,28,8.9,59,5.0,2.0,12.1,34.4,36.5,,,,,,0,0,
5 yrs,,PHI,,,39,1,,77,206,37.4,1077,13,6.3,20,9.7,59,5.2,2.1,14.0,27.6,36.5,,,,,,0,0,
1 yr,,NYG,,,3,0,,6,15,40.0,53,1,6.7,3,20.0,0,3.5,-4.1,8.8,17.7,32.8,,,,,,0,0,
1 yr,,PIT,,,4,3,2-1-0,48,94,51.1,453,1,1.1,5,5.3,36,4.8,2.6,9.4,113.3,46.1,,,,,,0,0,
