
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1960,21,HOU,qb,15,14,3,6,11,0,10,1.8,0.8,0.4,,,,,,,,,11,0,4
1961,22,HOU,qb,15,14,3,8,36,0,9,4.5,2.6,0.6,,,,,,,,,36,0,3
1962,23,HOU,,15,14,,4,1,0,4,0.3,0.1,0.3,,,,,,,,,1,0,1
1963,24,HOU,qb,15,14,1,2,9,0,8,4.5,0.6,0.1,,,,,,,,,9,0,2
1964,25,DEN,QB,15,14,10,42,163,3,16,3.9,11.6,3.0,,,,,,,,,163,3,3
1965,26,DEN,qb,15,4,1,2,1,0,2,0.5,0.3,0.5,,,,,,,,,1,0,1
1966,27,HOU,,15,8,,1,-3,0,-3,-3.0,-0.4,0.1,,,,,,,,,-3,0,1
1967,28,2TM,,,9,3,6,-3,0,7,-0.5,-0.3,0.7,,1,-1,-1.0,0,0,0.1,-0.1,-4,0,1
,,HOU,qb,15,4,3,5,0,0,7,0.0,0.0,1.3,,1,-1,-1.0,0,-1,0.3,-0.3,-1,0,0
,,KAN,,15,5,,1,-3,0,-3,-3.0,-0.6,0.2,,,,,,,,,-3,0,1
1969,30,KAN,qb,15,3,1,1,3,0,3,3.0,1.0,0.3,,,,,,,,,3,0,0
Career,,,,,100,23,72,218,3,16,3.0,2.2,0.7,,1,-1,-1.0,0,0,0.0,0.0,217,3,16
6 yrs,,HOU,,,68,10,26,54,0,10,2.1,0.8,0.4,,1,-1,-1.0,0,0,0.0,0.0,53,0,11
3 yrs,,KAN,,,14,2,2,0,0,3,0.0,0.0,0.1,,,,,,,,,0,0,1
2 yrs,,DEN,,,18,11,44,164,3,16,3.7,9.1,2.4,,,,,,,,,164,3,4
