
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1960,22,DAL,qb,17,6,1,0-1-0,29,68,42.6,281,2,2.9,5,7.4,23,4.1,1.4,9.7,46.8,34.0,,,,,,,,1
1961,23,DAL,qb,17,8,4,2-1-1,94,182,51.6,1161,9,4.9,11,6.0,56,6.4,4.6,12.4,145.1,63.0,,,,,,,,5
1962,24,DAL,qb,17,13,8,3-5-1,105,212,49.5,1679,15,7.1,8,3.8,69,7.9,7.6,16.0,129.2,84.2,,,,,,,,9
1963,25,DAL,QB,17,14,12,4-9-0,167,310,53.9,2381,17,5.5,18,5.8,55,7.7,6.2,14.3,170.1,73.1,,,,,,1,1,11
1964,26,DAL,QB,17,12,10,5-4-1,158,323,48.9,2143,9,2.8,16,5.0,49,6.6,5.0,13.6,178.6,59.1,,,,,,,,7
1965,27,DAL,QB,17,14,11,7-4-0,141,305,46.2,2415,22,7.2,13,4.3,65,7.9,7.4,17.1,172.5,79.9,,,,,,2,3,12
1966*,28,DAL,QB,17,13,13,9-3-1,177,344,51.5,2805,24,7.0,12,3.5,95,8.2,8.0,15.8,215.8,87.7,,,,,,3,2,16
1967*,29,DAL,QB,17,11,11,7-4-0,128,255,50.2,1834,16,6.3,16,6.3,60,7.2,5.6,14.3,166.7,68.7,,,,,,1,1,8
1968*,30,DAL,QB,17,13,13,11-2-0,171,309,55.3,2500,21,6.8,12,3.9,65,8.1,7.7,14.6,192.3,88.4,,,,,,1,1,14
Career,,,,,104,83,48-33-4,1170,2308,50.7,17199,135,5.8,111,4.8,95,7.5,6.5,14.7,165.4,74.8,,,,,,8,8,83
