
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1947,21,BUF,QB,,14,4,17,-49,1,0,-2.9,-3.5,1.2,,,,,,,,,-49,1,0
1948,22,BUF,QB,,14,13,12,-18,3,0,-1.5,-1.3,0.9,,,,,,,,,-18,3,0
1949,23,BUF,QB,,11,11,36,85,4,0,2.4,7.7,3.3,,,,,,,,,85,4,0
1950,24,NYY,QB,61,12,12,11,0,3,3,0.0,0.0,0.9,,,,,,,,,0,3,4
1951,25,NYY,qb,25,6,1,3,9,0,7,3.0,1.5,0.5,,,,,,,,,9,0,1
1952,26,CLE,,16,6,,1,2,0,2,2.0,0.3,0.2,,,,,,,,,2,0,0
1953,27,CLE,qb,16,9,1,2,6,0,3,3.0,0.7,0.2,,,,,,,,,6,0,0
1954,28,CLE,,16,6,,8,-13,1,2,-1.6,-2.2,1.3,,,,,,,,,-13,1,1
1955,29,CLE,,16,10,,6,8,1,10,1.3,0.8,0.6,,,,,,,,,8,1,2
1956,30,CLE,qb,16,4,4,10,19,1,11,1.9,4.8,2.5,,,,,,,,,19,1,1
Career,,,,,92,46,106,49,14,11,0.5,0.5,1.2,,,,,,,,,49,14,9
5 yrs,,CLE,,,35,5,27,22,3,11,0.8,0.6,0.8,,,,,,,,,22,3,4
3 yrs,,BUF,,,39,28,65,18,8,0,0.3,0.5,1.7,,,,,,,,,18,8,0
2 yrs,,NYY,,,18,13,14,9,3,7,0.6,0.5,0.8,,,,,,,,,9,3,5
