
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1949,21,RAM,,,6,0,,6,12,50.0,50,0,0.0,1,8.3,15,4.2,0.4,8.3,8.3,26.4,,,,,,0,0,
1951,23,GNB,qb,28,11,1,0-1-0,125,221,56.6,1306,11,5.0,9,4.1,75,5.9,5.1,10.4,118.7,73.5,,,,,,0,0,
1952,24,PHI,QB,11,12,9,5-4-0,95,212,44.8,1334,8,3.8,9,4.2,44,6.3,5.1,14.0,111.2,60.5,,,,,,0,0,
1953*,25,PHI,QB,11,12,8,6-2-0,162,304,53.3,2462,21,6.9,20,6.6,62,8.1,6.5,15.2,205.2,75.8,,,,,,0,0,
1954,26,PHI,qb,11,10,4,2-2-0,83,170,48.8,1242,10,5.9,13,7.6,63,7.3,5.0,15.0,124.2,61.0,,,,,,0,0,
1955*,27,PHI,qb,11,10,4,1-2-0,88,171,51.5,1337,10,5.8,7,4.1,63,7.8,7.1,15.2,133.7,80.0,,,,,,0,0,
1956*,28,PHI,QB,11,12,10,3-6-1,82,164,50.0,1119,4,2.4,21,12.8,52,6.8,1.5,13.6,93.3,40.7,,,,,,0,0,
1957,29,PHI,QB,11,12,8,2-5-0,46,92,50.0,630,4,4.3,10,10.9,67,6.8,2.8,13.7,52.5,47.2,,,,,,0,0,
Career,,,,,85,44,19-22-1,687,1346,51.0,9480,68,5.1,90,6.7,75,7.0,5.0,13.8,111.5,62.9,,,,,,0,0,
6 yrs,,PHI,,,68,43,19-21-1,556,1113,50.0,8124,57,5.1,80,7.2,67,7.3,5.1,14.6,119.5,61.2,,,,,,0,0,
1 yr,,GNB,,,11,1,0-1-0,125,221,56.6,1306,11,5.0,9,4.1,75,5.9,5.1,10.4,118.7,73.5,,,,,,0,0,
1 yr,,RAM,,,6,0,,6,12,50.0,50,0,0.0,1,8.3,15,4.2,0.4,8.3,8.3,26.4,,,,,,0,0,
