
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1958,23,CRD,QB,17,11,6,48,252,0,50,5.3,22.9,4.4,,,,,,,,,252,0,6
1959,24,CRD,,17,7,,5,-4,0,11,-0.8,-0.6,0.7,,,,,,,,,-4,0,3
1960,25,WAS,,17,8,,4,20,0,12,5.0,2.5,0.5,,,,,,,,,20,0,0
1961,26,BUF,qb,14,12,3,30,142,4,20,4.7,11.8,2.5,,,,,,,,,142,4,1
1962,27,OAK,,17,1,,1,9,0,9,9.0,9.0,1.0,,,,,,,,,9,0,0
Career,,,,,39,9,88,419,4,50,4.8,10.7,2.3,,,,,,,,,419,4,10
2 yrs,,CRD,,,18,6,53,248,0,50,4.7,13.8,2.9,,,,,,,,,248,0,9
1 yr,,BUF,,,12,3,30,142,4,20,4.7,11.8,2.5,,,,,,,,,142,4,1
1 yr,,OAK,,,1,0,1,9,0,9,9.0,9.0,1.0,,,,,,,,,9,0,0
1 yr,,WAS,,,8,0,4,20,0,12,5.0,2.5,0.5,,,,,,,,,20,0,0
