
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1956,23,CRD,,12,8,,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,0,0,
1959,26,CRD,LS,33,12,2,0-1-0,22,57,38.6,340,2,3.5,4,7.0,62,6.0,3.5,15.5,28.3,41.6,,,,,,0,0,
1960,27,STL,QB,12,12,10,4-5-1,87,188,46.3,1423,17,9.0,19,10.1,57,7.6,4.8,16.4,118.6,62.7,,,,,,2,1,8
1961,28,GNB,,10,7,,,0,4,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,,,0
1962,29,GNB,,10,8,,,3,12,25.0,33,0,0.0,0,0.0,18,2.8,2.8,11.0,4.1,39.6,,,,,,,,0
1963,30,GNB,qb,10,8,4,3-1-0,38,84,45.2,620,4,4.8,8,9.5,45,7.4,4.0,16.3,77.5,46.8,,,,,,0,1,3
1964,31,DAL,qb,12,9,4,0-4-0,32,68,47.1,349,1,1.5,6,8.8,37,5.1,1.5,10.9,38.8,30.8,,,,,,,,1
Career,,,,,64,20,7-11-1,182,413,44.1,2765,24,5.8,37,9.0,62,6.7,3.8,15.2,43.2,48.7,,,,,,2,2,12
3 yrs,,CRD-STL,,,32,12,4-6-1,109,245,44.5,1763,19,7.8,23,9.4,62,7.2,4.5,16.2,55.1,55.9,,,,,,2,1,8
3 yrs,,GNB,,,23,4,3-1-0,41,100,41.0,653,4,4.0,8,8.0,45,6.5,3.7,15.9,28.4,43.5,,,,,,0,1,3
1 yr,,DAL,,,9,4,0-4-0,32,68,47.1,349,1,1.5,6,8.8,37,5.1,1.5,10.9,38.8,30.8,,,,,,,,1
