
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1939,23,CHI,LH/P,,11,7,24,42,0,0,1.8,3.8,2.2,,,,,,,,,42,0,0
1940*,24,CHI,P/QB,,11,7,23,-65,0,0,-2.8,-5.9,2.1,,,,,,,,,-65,0,0
1941*+,25,CHI,P/QB,,11,11,18,18,1,20,1.0,1.6,1.6,,,,,,,,,18,1,0
1942*+,26,CHI,P/QB,,11,10,13,-6,0,9,-0.5,-0.5,1.2,,,,,,,,,-6,0,0
1943+,27,CHI,P/QB,,10,3,22,-40,1,8,-1.8,-4.0,2.2,,,,,,,,,-40,1,0
1944+,28,CHI,QB,,7,0,20,-96,1,7,-4.8,-13.7,2.9,,,,,,,,,-96,1,0
1945,29,CHI,P/QB,,10,2,36,-118,0,22,-3.3,-11.8,3.6,,,,,,,,,-118,0,4
1946,30,CHI,P/QB,,11,5,25,-76,0,25,-3.0,-6.9,2.3,,,,,,,,,-76,0,7
1947+,31,CHI,QB,,12,7,10,86,1,40,8.6,7.2,0.8,,1,15,15.0,0,15,0.1,1.3,101,1,2
1948,32,CHI,QB,,12,8,8,11,0,18,1.4,0.9,0.7,,,,,,,,,11,0,1
1949,33,CHI,qb,,11,2,3,4,0,14,1.3,0.4,0.3,,,,,,,,,4,0,1
1950,34,CHI,,42,11,,2,1,0,1,0.5,0.1,0.2,,,,,,,,,1,0,0
Career,,,,,128,62,204,-239,4,40,-1.2,-1.9,1.6,,1,15,15.0,0,15,0.0,0.1,-224,4,15
