
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1952,22,DET,,19,6,,1,3,0,3,3.0,0.5,0.2,,,,,,,,,3,0,0
1953,23,DET,qb,19,7,1,6,39,0,17,6.5,5.6,0.9,,,,,,,,,39,0,2
1954,24,DET,qb,19,12,4,21,76,1,15,3.6,6.3,1.8,,,,,,,,,76,1,5
Career,,,,,29,5,28,118,1,17,4.2,4.1,1.0,,,,,,,,,118,1,7
3 yrs,,DET,,,25,5,28,118,1,17,4.2,4.7,1.1,,,,,,,,,118,1,7
1 yr,,DEN,,,3,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
1 yr,,NYG,,,1,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
