
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1954,23,BAL,P,19,12,1,0-1-0,28,64,43.8,309,0,0.0,5,7.8,29,4.8,1.3,11.0,25.8,26.1,,,,,,0,0,
1957,26,BAL,P,18,12,,,0,2,0.0,0,0,0.0,1,50.0,0,0.0,-22.5,,0.0,0.0,,,,,,0,0,
1960,29,DTX,P/QB,19,14,12,7-6-0,179,379,47.2,2474,15,4.0,16,4.2,74,6.5,5.4,13.8,176.7,64.2,,,,,,,,13
1961*,30,DTX,P/QB,19,14,12,5-7-0,151,330,45.8,2445,17,5.2,23,7.0,71,7.4,5.3,16.2,174.6,59.2,,,,,,1,1,12
1962,31,2TM,,,14,12,1-11-0,119,321,37.1,1977,7,2.2,23,7.2,90,6.2,3.4,16.6,141.2,36.1,,,,,,,,3
,,DTX,,19,1,,,0,0,,0,0,,0,,0,,,,0.0,,,,,,,,,0
,,OAK,QB,19,13,12,1-11-0,119,321,37.1,1977,7,2.2,23,7.2,90,6.2,3.4,16.6,152.1,36.1,,,,,,,,3
1963*,32,OAK,qb,19,14,5,2-3-0,77,194,39.7,1276,11,5.7,10,5.2,73,6.6,5.4,16.6,91.1,60.0,,,,,,2,2,5
1964,33,OAK,qb,19,14,7,4-2-1,155,320,48.4,2497,21,6.6,19,5.9,60,7.8,6.4,16.1,178.4,72.1,,,,,,1,0,9
1965,34,OAK,,19,2,,,1,1,100.0,8,0,0.0,0,0.0,8,8.0,8.0,8.0,4.0,100.0,,,,,,,,0
1966,35,OAK,qb,19,14,4,1-3-0,59,139,42.4,770,2,1.4,11,7.9,51,5.5,2.3,13.1,55.0,32.4,,,,,,,,3
1968,37,OAK,,19,1,,,1,2,50.0,4,0,0.0,0,0.0,4,2.0,2.0,4.0,4.0,56.2,,,,,,,,0
Career,,,,,111,53,20-33-1,770,1752,43.9,11760,73,4.2,108,6.2,90,6.7,4.8,15.3,105.9,54.9,,,,,,4,3,45
6 yrs,,OAK,,,58,28,8-19-1,412,977,42.2,6532,41,4.2,63,6.4,90,6.7,4.6,15.9,112.6,52.2,,,,,,3,2,20
3 yrs,,DTX,,,29,24,12-13-0,330,709,46.5,4919,32,4.5,39,5.5,74,6.9,5.4,14.9,169.6,61.9,,,,,,1,1,25
2 yrs,,BAL,,,24,1,0-1-0,28,66,42.4,309,0,0.0,6,9.1,29,4.7,0.6,11.0,12.9,19.1,,,,,,0,0,
